user_id	prec@10	rec@10	user_predictability
0	0.04510428439330114	0.06316134860047277	0.7444
1	0.04492818671454219	0.06289349544019629	0.5724
2	0.04586644591611479	0.06376864154320415	0.8947
3	0.043132611637347766	0.06023500190691306	0.5962
4	0.043583934088568484	0.06161910063310935	0.7702
5	0.045542380324989015	0.0635317659734424	0.4007
6	0.045920982381206614	0.0636570993418867	0.4648
7	0.044502554123084404	0.06267266802552728	0.4552
8	0.04593927690161999	0.06367875108654356	0.4653
9	0.04555699242564197	0.06344587199403658	0.3629
10	0.04351763584366063	0.06135284399230007	0.3396
11	0.04563872108442611	0.0636674982687217	0.3782
12	0.045895421295041997	0.06368169177145562	0.2457
13	0.044613342984678485	0.06284003727757755	0.3769
14	0.04569148069718195	0.06355648464138182	0.5356
15	0.04354877176246125	0.06139674061332962	0.2748
16	0.04580903373356203	0.06374265217134516	0.9471
17	0.045826595347680056	0.06384699041389123	0.3314
18	0.04472881580692215	0.06307509792388681	0.2611
19	0.04578876577211298	0.06381710179920026	0.905
20	0.04587261565446174	0.0637303498561613	0.6247
21	0.045768787607220585	0.0637894807024562	0.3659
22	0.04566069906223358	0.06356344761154678	0.8275
23	0.036170212765957444	0.051309006839357275	0.3083
24	0.04550526968381897	0.06256558048689294	0.406
25	0.044448659585230144	0.06273469894021882	0.3011
26	0.044523720115158344	0.06274419710595273	0.196
27	0.044535976316128205	0.0628462539000681	0.3639
28	0.04431547619047619	0.06281478870439128	0.6598
29	0.044547238575834036	0.06318207046439238	0.5927
30	0.04347230377764729	0.061712263404589275	0.6072
31	0.04552352048558422	0.06359876503568099	0.4056
32	0.04592932290261667	0.06369421506691464	0.325
33	0.04569026548672566	0.06360383351122605	0.3609
34	0.04579712067936044	0.06380856456406551	0.7377
35	0.044431314623338256	0.06290840757983197	0.3964
36	0.045490380103237915	0.06347920386681309	0.8841
37	0.043510054844606946	0.06050408333738352	0.1221
38	0.04592961061189559	0.06367958399762354	0.4569
39	0.04581939799331104	0.06382256158069567	0.2489
40	0.04358583290967633	0.06220407785967653	0.2796
41	0.045591545160974654	0.06367929601211307	0.376
42	0.045880830611867644	0.06386483346157537	0.4268
43	0.04590496070726915	0.06389650908663258	0.7026
44	0.04553344623200677	0.06350970735738692	0.7892
45	0.04561114874673376	0.06370142998774041	0.4196
46	0.04372144032169621	0.0624213244850561	0.73
47	0.04442480111125142	0.06268859694648952	0.4953
48	0.04252163164400494	0.05908368992591222	0.5419
49	0.045731754508165	0.06371687885447169	0.89
50	0.045653384236061405	0.06344604472849404	0.8925
51	0.04473859252361314	0.06305645952376257	0.7433
52	0.0455328766155802	0.06350750947363101	0.8325
53	0.04560505999441912	0.063507061596029	0.561
54	0.0436743059437302	0.06224626314087019	0.411
55	0.0436529372045915	0.062230839578693686	0.5156
56	0.045639260159308755	0.06359962201409906	0.4846
57	0.045517833301544915	0.0635975243937923	0.2887
58	0.04592720008878037	0.0638418913543252	0.5423
59	0.04549319115210029	0.06345547562668352	0.5287
60	0.045310168407588995	0.06339097514894498	0.7445
61	0.045691549829480864	0.06362574740534074	0.4294
62	0.04313458262350937	0.06022314879211347	0.292
63	0.045668449197860964	0.06357136987216915	0.5196
64	0.045875397400858935	0.06382963551018007	0.3425
65	0.04345700316364682	0.0607277479826236	0.493
66	0.045860886602987996	0.06382891173878945	0.4123
67	0.04369302171390685	0.06226316680110727	0.2864
68	0.045557696424748446	0.0635263980215996	0.7835
69	0.04515363992575788	0.06317680878971821	0.5808
70	0.04549222797927461	0.06348255040153075	0.2171
71	0.046505823627287855	0.06464851346228649	0.8937
72	0.04588528678304239	0.0636880805305398	0.4949
73	0.045838563554003155	0.06366237316552265	0.2879
74	0.04349078341013825	0.06078639969342806	0.9164
