uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1451, 0.56088, 0.54015, 0.54242, 0.54015, 0.55106, 2.41046, 0.52619, 0.52619, 0.53552, 0.53840
1452, 0.95998, 0.69282, 0.82922, 0.69276, 0.87421, 2.86652, 1.02217, 1.02217, 1.04720, 0.97938
1453, 0.62877, 0.60976, 0.61579, 0.60976, 0.63560, 1.87473, 0.59587, 0.59587, 0.58592, 0.58156
1454, 1.09539, 1.05358, 1.05021, 1.05461, 1.21948, 1.36731, 0.98529, 0.98529, 0.88827, 1.09165
1455, 0.84402, 0.84389, 0.83298, 0.84389, 0.82034, 1.66656, 0.83303, 0.83303, 0.78766, 0.83477
1456, 0.98615, 0.92066, 0.90361, 0.91273, 0.73336, 1.00940, 0.96359, 0.96359, 0.95232, 1.20373
1457, 0.90403, 0.79530, 0.81498, 0.79530, 0.64790, 1.26330, 0.49164, 0.49164, 0.50087, 0.82441
1458, 1.17923, 1.15852, 1.16175, 1.15392, 1.09472, 1.90484, 1.06706, 1.06706, 1.07172, 1.04700
1459, 0.83978, 0.86130, 0.86915, 0.85552, 0.75160, 2.58920, 0.74392, 0.74392, 0.77481, 0.80823
1460, 0.69528, 0.68999, 0.68826, 0.68999, 0.64013, 2.74686, 0.62582, 0.62582, 0.61412, 0.71734
1461, 1.24261, 1.22751, 1.24545, 1.24648, 1.33167, 1.67381, 1.16660, 1.16660, 1.28228, 1.33826
1462, 0.33016, 0.32494, 0.26316, 0.26249, 0.32040, 2.63913, 0.28511, 0.28511, 0.21491, 0.34524
1463, 0.74739, 0.73313, 0.74168, 0.73313, 0.69103, 2.09742, 0.66200, 0.66200, 0.70522, 0.76416
1464, 0.74503, 0.69492, 0.68413, 0.69544, 0.65899, 1.79441, 0.62019, 0.62019, 0.61105, 0.61550
1465, 1.18872, 1.11798, 1.15904, 1.13011, 1.13083, 2.21214, 1.06128, 1.06128, 1.09329, 1.12418
1466, 0.63510, 0.65020, 0.64408, 0.65020, 0.69409, 1.48092, 0.58630, 0.58630, 0.61007, 0.66845
1467, 0.64500, 0.64292, 0.63820, 0.64292, 0.64532, 2.65264, 0.63630, 0.63630, 0.63704, 0.64105
1468, 0.97957, 0.87578, 0.88077, 0.87944, 0.88589, 1.94636, 0.71608, 0.71608, 0.67612, 0.83316
1469, 0.89124, 0.92040, 0.91782, 0.92167, 0.85889, 1.81353, 0.73250, 0.73250, 0.77457, 0.83770
1470, 0.69995, 0.67992, 0.68331, 0.67992, 0.64137, 2.85106, 0.65876, 0.65876, 0.67877, 0.66147
1471, 0.78984, 0.73570, 0.77112, 0.73570, 0.76034, 2.01601, 0.76688, 0.76688, 0.76294, 0.82809
1472, 0.65629, 0.61430, 0.60488, 0.61430, 0.55622, 2.34443, 0.55809, 0.55809, 0.57682, 0.59376
1473, 0.55106, 0.57676, 0.57792, 0.57676, 0.64275, 1.98088, 0.56142, 0.56142, 0.56973, 0.60519
1474, 0.53487, 0.52278, 0.52689, 0.52278, 0.50690, 2.79372, 0.51748, 0.51748, 0.52056, 0.54270
1475, 0.64523, 0.59236, 0.59199, 0.59236, 0.60641, 2.43109, 0.57298, 0.57298, 0.57140, 0.58195
1476, 0.63420, 0.82700, 0.74003, 0.79557, 0.85224, 2.11667, 0.66538, 0.66538, 0.84069, 0.81305
1477, 0.59711, 0.55366, 0.55906, 0.55570, 0.54898, 2.44863, 0.58514, 0.58514, 0.57417, 0.57688
1478, 0.54750, 0.55879, 0.56099, 0.55879, 0.58575, 1.99645, 0.53183, 0.53183, 0.52240, 0.56240
1479, 0.81314, 0.78584, 0.77542, 0.78584, 0.73740, 1.75571, 0.68618, 0.68618, 0.66995, 0.70004
1480, 0.70292, 0.66957, 0.67315, 0.66957, 0.64973, 2.12927, 0.69889, 0.69889, 0.69550, 0.71861
1481, 0.50774, 0.50612, 0.51301, 0.50612, 0.39918, 2.13012, 0.45611, 0.45611, 0.46120, 0.49656
1482, 0.86662, 0.85743, 0.86009, 0.85743, 0.75458, 1.45490, 0.70731, 0.70731, 0.73388, 0.84392
1483, 0.69500, 0.70021, 0.69365, 0.70021, 0.66201, 2.51139, 0.65587, 0.65587, 0.68845, 0.67247
1484, 0.57932, 0.54914, 0.55113, 0.54914, 0.56036, 2.14200, 0.51491, 0.51491, 0.48742, 0.52907
1485, 0.53636, 0.53499, 0.51829, 0.51884, 0.49124, 2.38482, 0.33473, 0.33473, 0.42885, 0.65291
