uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
44, 0.02394, 0.02211, 0.02217, 0.02211, 0.03951, 0.07520, 0.03732, 0.03732, 0.03734, 0.03035
45, 0.01002, 0.01279, 0.01134, 0.01162, 0.01824, 0.08708, 0.01248, 0.01248, 0.01762, 0.01486
46, 0.04498, 0.04516, 0.04674, 0.04516, 0.07962, 0.13639, 0.06593, 0.06593, 0.06190, 0.05620
47, 0.06471, 0.06564, 0.06600, 0.06564, 0.06273, 0.13343, 0.07386, 0.07386, 0.08662, 0.07738
48, 0.01103, 0.01097, 0.01045, 0.01101, 0.03331, 0.09197, 0.02515, 0.02515, 0.02131, 0.01658
49, 0.02615, 0.02625, 0.02670, 0.02625, 0.04659, 0.10818, 0.05186, 0.05186, 0.04832, 0.02955
50, 0.05806, 0.05891, 0.05791, 0.05891, 0.07119, 0.08419, 0.09540, 0.09540, 0.10876, 0.08385
51, 0.03938, 0.03870, 0.03827, 0.03870, 0.06250, 0.12891, 0.07176, 0.07176, 0.06136, 0.04392
52, 0.04973, 0.05567, 0.05523, 0.05567, 0.07360, 0.10619, 0.09399, 0.09399, 0.09063, 0.07487
53, 0.03692, 0.03584, 0.03664, 0.03584, 0.05544, 0.11254, 0.04848, 0.04848, 0.06929, 0.04602
54, 0.00419, 0.00443, 0.00421, 0.00453, 0.00515, 0.07932, 0.00629, 0.00629, 0.00562, 0.00474
55, 0.00633, 0.00674, 0.00627, 0.00650, 0.01468, 0.04761, 0.01742, 0.01742, 0.01195, 0.00653
56, 0.03532, 0.03772, 0.03618, 0.03772, 0.07113, 0.06474, 0.08193, 0.08193, 0.06292, 0.04634
57, 0.00473, 0.00238, 0.00296, 0.00246, 0.00164, 0.00259, 0.00420, 0.00420, 0.00545, 0.01067
58, 0.02112, 0.02131, 0.02107, 0.02131, 0.03858, 0.11752, 0.05253, 0.05253, 0.02769, 0.02321
59, 0.04868, 0.04731, 0.04768, 0.04731, 0.05464, 0.11991, 0.07139, 0.07139, 0.06130, 0.05056
60, 0.01702, 0.01741, 0.01726, 0.01741, 0.03771, 0.09831, 0.05384, 0.05384, 0.02856, 0.01944
61, 0.03703, 0.03611, 0.03639, 0.03611, 0.04511, 0.10413, 0.06912, 0.06912, 0.05629, 0.04343
62, 0.02902, 0.02697, 0.02761, 0.02697, 0.04393, 0.08115, 0.02495, 0.02495, 0.03803, 0.03377
63, 0.00792, 0.00813, 0.00949, 0.00786, 0.00499, 0.03643, 0.00808, 0.00808, 0.01011, 0.00834
64, 0.02493, 0.02307, 0.02294, 0.02309, 0.03405, 0.05524, 0.02541, 0.02541, 0.03715, 0.02200
65, 0.00200, 0.00635, 0.00265, 0.00801, 0.00414, 0.02074, 0.10149, 0.10149, 0.02209, 0.00336
66, 0.01007, 0.01086, 0.01087, 0.01074, 0.02482, 0.06790, 0.02484, 0.02484, 0.02535, 0.01220
67, 0.00574, 0.00629, 0.00599, 0.00604, 0.01000, 0.01468, 0.00974, 0.00974, 0.00664, 0.00673
68, 0.02002, 0.02159, 0.01901, 0.02155, 0.01919, 0.14341, 0.01864, 0.01864, 0.03030, 0.02433
69, 0.04519, 0.04133, 0.04299, 0.04133, 0.09336, 0.16150, 0.10044, 0.10044, 0.08294, 0.04994
70, 0.05397, 0.05059, 0.05033, 0.05059, 0.08425, 0.15002, 0.07428, 0.07428, 0.07081, 0.06333
71, 0.05294, 0.05375, 0.05357, 0.05375, 0.08341, 0.07667, 0.08668, 0.08668, 0.08113, 0.06299
72, 0.02437, 0.02349, 0.02357, 0.02349, 0.04210, 0.09954, 0.03294, 0.03294, 0.03090, 0.03008
73, 0.07565, 0.07403, 0.07486, 0.07403, 0.08453, 0.15920, 0.09085, 0.09085, 0.10228, 0.08357
74, 0.00873, 0.00929, 0.00758, 0.00855, 0.01639, 0.04225, 0.01193, 0.01193, 0.01273, 0.00924
75, 0.01724, 0.01702, 0.01677, 0.01702, 0.01207, 0.04952, 0.02107, 0.02107, 0.03669, 0.01530
76, 0.00629, 0.00538, 0.00521, 0.00526, 0.01382, 0.03957, 0.01392, 0.01392, 0.04365, 0.00669
77, 0.02935, 0.02817, 0.02807, 0.02817, 0.04588, 0.07561, 0.05537, 0.05537, 0.05353, 0.03089
78, 0.00322, 0.00406, 0.00312, 0.00360, 0.00260, 0.03564, 0.00321, 0.00321, 0.00338, 0.00229
79, 0.00281, 0.00417, 0.00326, 0.00388, 0.00674, 0.01429, 0.00573, 0.00573, 0.00577, 0.00284
80, 0.03487, 0.03692, 0.03578, 0.03692, 0.06068, 0.07934, 0.05962, 0.05962, 0.05667, 0.04315
81, 0.02905, 0.02641, 0.02665, 0.02642, 0.03692, 0.09135, 0.10194, 0.10194, 0.04727, 0.03407
82, 0.02326, 0.02376, 0.02416, 0.02376, 0.02344, 0.04372, 0.02836, 0.02836, 0.02097, 0.02550
83, 0.02017, 0.02156, 0.02164, 0.02156, 0.02870, 0.04374, 0.05845, 0.05845, 0.04964, 0.01942
84, 0.07036, 0.07205, 0.07264, 0.07205, 0.06874, 0.11855, 0.09656, 0.09656, 0.09399, 0.07989
85, 0.04336, 0.04377, 0.04393, 0.04377, 0.06811, 0.15593, 0.07115, 0.07115, 0.06906, 0.04945
86, 0.02592, 0.02431, 0.02413, 0.02431, 0.03867, 0.09378, 0.03422, 0.03422, 0.03943, 0.02690
87, 0.02967, 0.02997, 0.03050, 0.02997, 0.04934, 0.12477, 0.03878, 0.03878, 0.04243, 0.03920
88, 0.03548, 0.03621, 0.03642, 0.03621, 0.05766, 0.12443, 0.07686, 0.07686, 0.06326, 0.04081
89, 0.00632, 0.00582, 0.00592, 0.00594, 0.00802, 0.02608, 0.00752, 0.00752, 0.00509, 0.00635
90, 0.02904, 0.02994, 0.02975, 0.02994, 0.03958, 0.08283, 0.04178, 0.04178, 0.04785, 0.03253
91, 0.04894, 0.04919, 0.04871, 0.04919, 0.08271, 0.12603, 0.09512, 0.09512, 0.07245, 0.06030
92, 0.00659, 0.00783, 0.00752, 0.00779, 0.00850, 0.01553, 0.04214, 0.04214, 0.04464, 0.01067
93, 0.04161, 0.04668, 0.04733, 0.04668, 0.04407, 0.10196, 0.05162, 0.05162, 0.06218, 0.05535
94, 0.06458, 0.06108, 0.06129, 0.06108, 0.08685, 0.13386, 0.11601, 0.11601, 0.10465, 0.07771
95, 0.02045, 0.01931, 0.02121, 0.01962, 0.02970, 0.07907, 0.10338, 0.10338, 0.12523, 0.03809
96, 0.04157, 0.04160, 0.04172, 0.04160, 0.04755, 0.10600, 0.04781, 0.04781, 0.07221, 0.04524
97, 0.02129, 0.02183, 0.02333, 0.02185, 0.02454, 0.03439, 0.03986, 0.03986, 0.06389, 0.02719
98, 0.03761, 0.03489, 0.03478, 0.03489, 0.06599, 0.14564, 0.08958, 0.08958, 0.06779, 0.04596
99, 0.01559, 0.03370, 0.01007, 0.03248, 0.00967, 0.28437, 0.04375, 0.04375, 0.11407, 0.01615
100, 0.02003, 0.02091, 0.02087, 0.02091, 0.03828, 0.08721, 0.06558, 0.06558, 0.04289, 0.02117
101, 0.05724, 0.05690, 0.05767, 0.05690, 0.08839, 0.15836, 0.11703, 0.11703, 0.08412, 0.07139
102, 0.04739, 0.04510, 0.04474, 0.04510, 0.06445, 0.12882, 0.08207, 0.08207, 0.04188, 0.05446
103, 0.05082, 0.05128, 0.05310, 0.05128, 0.07157, 0.12416, 0.10667, 0.10667, 0.07888, 0.06582
104, 0.02662, 0.02374, 0.02439, 0.02374, 0.06585, 0.14488, 0.07108, 0.07108, 0.04051, 0.03176
105, 0.02593, 0.02245, 0.02342, 0.02268, 0.05405, 0.06477, 0.08501, 0.08501, 0.09151, 0.03700
106, 0.03598, 0.03563, 0.03550, 0.03563, 0.05371, 0.12425, 0.06206, 0.06206, 0.04625, 0.04355
107, 0.00102, 0.00125, 0.00117, 0.00132, 0.00131, 0.00800, 0.00312, 0.00312, 0.00564, 0.00136
108, 0.05829, 0.06267, 0.06365, 0.06267, 0.06283, 0.10642, 0.08682, 0.08682, 0.10488, 0.07650
109, 0.00772, 0.00850, 0.00763, 0.00838, 0.01793, 0.05484, 0.02708, 0.02708, 0.01567, 0.00870
110, 0.01412, 0.01202, 0.01238, 0.01202, 0.02428, 0.06592, 0.07343, 0.07343, 0.03204, 0.01792
111, 0.01171, 0.01114, 0.01136, 0.01114, 0.02602, 0.12920, 0.02151, 0.02151, 0.02915, 0.01293
112, 0.01125, 0.01061, 0.01041, 0.01026, 0.01943, 0.05818, 0.04946, 0.04946, 0.03080, 0.01519
113, 0.06373, 0.06553, 0.06784, 0.06553, 0.07293, 0.12372, 0.10558, 0.10558, 0.09893, 0.08046
114, 0.05089, 0.05039, 0.04962, 0.05039, 0.06613, 0.13882, 0.07589, 0.07589, 0.07637, 0.05912
115, 0.03306, 0.03498, 0.03433, 0.03498, 0.05920, 0.12020, 0.07436, 0.07436, 0.08158, 0.04734
116, 0.01132, 0.01050, 0.01022, 0.01025, 0.01569, 0.02652, 0.01149, 0.01149, 0.01563, 0.01066
117, 0.02998, 0.02935, 0.02986, 0.02935, 0.05597, 0.16874, 0.04484, 0.04484, 0.09343, 0.03489
118, 0.03391, 0.03560, 0.03511, 0.03560, 0.02515, 0.10631, 0.05738, 0.05738, 0.04790, 0.03705
119, 0.01979, 0.01979, 0.02062, 0.01979, 0.05669, 0.08857, 0.04948, 0.04948, 0.05846, 0.02069
120, 0.03017, 0.03316, 0.03286, 0.03316, 0.04276, 0.08387, 0.05251, 0.05251, 0.06537, 0.03996
121, 0.01144, 0.01092, 0.01134, 0.01092, 0.02301, 0.03770, 0.02780, 0.02780, 0.02079, 0.01147
122, 0.02067, 0.02062, 0.02144, 0.02062, 0.05190, 0.05962, 0.05172, 0.05172, 0.04047, 0.02163
123, 0.00697, 0.01927, 0.01181, 0.01967, 0.00269, 0.06879, 0.00676, 0.00676, 0.01518, 0.00372
124, 0.02832, 0.02769, 0.02756, 0.02769, 0.04779, 0.09994, 0.05168, 0.05168, 0.04337, 0.02904
125, 0.10391, 0.10773, 0.10888, 0.10773, 0.09996, 0.17226, 0.13235, 0.13235, 0.13948, 0.12610
126, 0.01769, 0.01814, 0.01787, 0.01814, 0.02411, 0.04858, 0.01755, 0.01755, 0.02128, 0.01821
127, 0.02887, 0.03051, 0.03011, 0.03051, 0.04517, 0.09688, 0.04648, 0.04648, 0.04219, 0.03256
128, 0.01307, 0.01152, 0.01228, 0.01152, 0.01816, 0.09780, 0.04281, 0.04281, 0.03766, 0.01213
129, 0.04696, 0.04860, 0.04727, 0.04860, 0.04047, 0.10786, 0.05274, 0.05274, 0.07022, 0.06745
130, 0.02976, 0.03295, 0.03183, 0.03115, 0.01410, 0.01660, 0.08254, 0.08254, 0.10765, 0.03837
131, 0.02103, 0.02008, 0.02017, 0.02008, 0.02757, 0.06816, 0.02838, 0.02838, 0.03049, 0.02170
132, 0.03634, 0.03564, 0.03557, 0.03564, 0.03722, 0.05709, 0.04388, 0.04388, 0.04961, 0.03751
133, 0.03116, 0.02713, 0.02755, 0.02713, 0.06773, 0.09000, 0.07978, 0.07978, 0.04493, 0.03287
134, 0.03862, 0.03849, 0.03764, 0.03849, 0.07062, 0.10563, 0.07863, 0.07863, 0.09808, 0.05411
135, 0.04113, 0.04164, 0.04243, 0.04164, 0.04211, 0.08949, 0.05954, 0.05954, 0.06121, 0.04952
136, 0.02735, 0.02681, 0.02743, 0.02681, 0.03448, 0.05372, 0.03584, 0.03584, 0.04156, 0.03153
137, 0.01461, 0.01279, 0.01261, 0.01281, 0.02157, 0.05037, 0.02108, 0.02108, 0.01798, 0.01639
138, 0.02668, 0.02602, 0.02649, 0.02602, 0.03795, 0.05716, 0.05086, 0.05086, 0.03229, 0.03130
139, 0.02941, 0.02914, 0.03083, 0.02914, 0.06895, 0.12706, 0.06542, 0.06542, 0.07162, 0.02816
140, 0.05794, 0.05831, 0.05817, 0.05831, 0.08443, 0.10926, 0.08776, 0.08776, 0.08381, 0.06976
141, 0.01289, 0.01329, 0.01338, 0.01329, 0.02726, 0.05927, 0.04209, 0.04209, 0.04968, 0.01503
142, 0.02285, 0.02495, 0.02433, 0.02441, 0.03339, 0.06211, 0.04222, 0.04222, 0.02676, 0.02683
143, 0.01396, 0.01282, 0.01251, 0.01282, 0.04149, 0.08680, 0.10714, 0.10714, 0.04499, 0.01115
144, 0.00633, 0.00305, 0.00504, 0.00428, 0.00634, 0.00325, 0.00288, 0.00288, 0.00227, 0.00246
145, 0.04724, 0.04637, 0.04633, 0.04637, 0.06400, 0.15177, 0.09472, 0.09472, 0.06399, 0.05765
146, 0.02162, 0.02164, 0.02216, 0.02164, 0.05969, 0.14380, 0.07585, 0.07585, 0.06835, 0.02552
147, 0.02160, 0.02149, 0.02125, 0.02149, 0.03284, 0.09888, 0.02507, 0.02507, 0.02773, 0.02524
148, 0.02120, 0.02243, 0.02257, 0.02243, 0.03389, 0.07236, 0.03200, 0.03200, 0.03995, 0.02799
149, 0.04589, 0.04484, 0.04482, 0.04484, 0.04875, 0.11827, 0.06111, 0.06111, 0.06378, 0.04501
150, 0.07238, 0.07761, 0.07753, 0.07761, 0.11497, 0.15485, 0.12443, 0.12443, 0.12937, 0.10682
151, 0.01192, 0.01126, 0.01092, 0.01108, 0.02833, 0.10978, 0.01883, 0.01883, 0.02993, 0.01012
152, 0.04342, 0.04256, 0.04305, 0.04256, 0.05809, 0.09941, 0.05657, 0.05657, 0.05083, 0.04632
153, 0.00599, 0.00624, 0.00613, 0.00624, 0.01364, 0.02827, 0.04036, 0.04036, 0.02286, 0.00683
154, 0.04040, 0.03704, 0.03775, 0.03704, 0.04862, 0.11781, 0.04091, 0.04091, 0.05672, 0.04256
155, 0.00657, 0.00837, 0.00817, 0.00790, 0.01058, 0.06829, 0.01571, 0.01571, 0.01718, 0.01196
156, 0.04253, 0.04193, 0.04139, 0.04193, 0.09177, 0.16523, 0.09807, 0.09807, 0.09600, 0.05015
157, 0.03504, 0.03399, 0.03377, 0.03399, 0.04332, 0.11981, 0.03806, 0.03806, 0.04557, 0.04030
158, 0.02265, 0.02151, 0.02155, 0.02151, 0.03464, 0.06708, 0.03840, 0.03840, 0.02940, 0.02487
