sample_number, space_size, shape, density, rpu, rpi, gini_u, gini_i, pop_avg, pop_std, pop_skew, pop_kurtosis, long_tail_avg, long_tail_std, long_tail_skew, long_tail_kurtosis, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
385, 531164, 0.4374, 0.0640, 70.5353, 30.8512, 0.4961, 0.6171, 0.1976, 0.0448, 0.5287, 0.5902, 0.1569, 0.1107, 0.9579, 1.3834, 0.0482, 0.0530, 0.0535, 0.0531, 0.0594, 0.2391, 0.1121, 0.1121, 0.1505, 0.0733
386, 1377720, 0.5749, 0.0618, 95.7371, 55.0426, 0.4736, 0.6290, 0.1951, 0.0410, 0.2559, -0.1032, 0.1671, 0.1041, 0.9388, 1.4124, 0.0311, 0.0338, 0.0336, 0.0338, 0.0577, 0.2188, 0.0978, 0.0978, 0.1283, 0.0494
387, 443592, 1.2079, 0.0602, 36.5041, 44.0941, 0.4838, 0.6311, 0.1843, 0.0430, 0.2860, 0.0277, 0.1687, 0.1245, 0.8441, 1.2980, 0.0792, 0.0864, 0.0866, 0.0865, 0.0914, 0.2842, 0.1492, 0.1492, 0.1844, 0.1058
388, 93720, 0.1291, 0.0587, 49.9727, 6.4519, 0.4658, 0.6453, 0.2004, 0.0422, 0.0709, -0.1738, 0.1506, 0.0995, 1.4442, 4.1524, 0.0906, 0.0898, 0.0898, 0.0898, 0.0488, 0.2654, 0.1691, 0.1691, 0.1836, 0.1149
389, 431795, 0.4795, 0.0605, 57.4044, 27.5227, 0.4546, 0.6421, 0.2030, 0.0485, 0.4732, 0.3090, 0.1631, 0.1167, 1.0338, 1.4498, 0.0690, 0.0731, 0.0732, 0.0728, 0.0704, 0.2716, 0.1331, 0.1331, 0.1560, 0.1008
390, 187371, 1.7523, 0.0647, 21.1728, 37.1009, 0.4614, 0.6472, 0.2372, 0.0741, 0.8552, 1.8418, 0.1635, 0.1396, 1.2209, 3.8561, 0.1464, 0.1551, 0.1515, 0.1531, 0.1449, 0.3533, 0.2027, 0.2027, 0.2481, 0.1813
391, 327310, 0.6493, 0.0617, 43.8026, 28.4408, 0.4607, 0.6591, 0.2210, 0.0549, 0.2156, 0.1186, 0.1818, 0.1280, 0.9559, 1.1386, 0.0749, 0.0738, 0.0754, 0.0739, 0.0812, 0.2994, 0.1413, 0.1413, 0.1766, 0.1079
392, 877097, 0.8649, 0.0634, 63.8370, 55.2155, 0.4693, 0.6234, 0.2015, 0.0467, 0.3965, 0.2281, 0.1603, 0.1071, 0.9204, 1.5154, 0.0575, 0.0646, 0.0631, 0.0638, 0.0758, 0.2559, 0.1143, 0.1143, 0.1559, 0.0800
393, 649700, 1.2192, 0.0615, 44.8966, 54.7370, 0.4656, 0.6313, 0.2060, 0.0539, 0.6328, 0.6227, 0.1592, 0.1127, 0.7714, 0.8874, 0.0698, 0.0772, 0.0768, 0.0769, 0.0890, 0.2895, 0.1361, 0.1361, 0.1799, 0.1008
394, 180728, 0.2978, 0.0591, 46.0517, 13.7150, 0.4790, 0.6393, 0.2013, 0.0493, 0.4375, -0.1970, 0.1603, 0.1093, 0.5441, -0.0245, 0.0648, 0.0675, 0.0676, 0.0674, 0.0686, 0.2719, 0.1312, 0.1312, 0.1792, 0.0925
395, 330220, 0.4373, 0.0675, 58.6816, 25.6605, 0.4745, 0.6369, 0.2107, 0.0462, 0.3243, 0.1532, 0.1684, 0.1132, 0.9844, 1.9170, 0.0646, 0.0711, 0.0709, 0.0709, 0.0701, 0.2607, 0.1463, 0.1463, 0.1694, 0.0874
396, 81925, 0.1559, 0.0596, 43.2301, 6.7379, 0.4620, 0.6716, 0.2125, 0.0468, 1.0204, 0.9770, 0.1700, 0.1103, 0.3740, -0.2373, 0.0835, 0.0828, 0.0821, 0.0828, 0.0665, 0.2800, 0.1541, 0.1541, 0.1856, 0.1179
397, 215025, 0.0925, 0.0705, 107.4539, 9.9351, 0.4752, 0.6390, 0.2232, 0.0471, 0.5206, -0.0066, 0.1687, 0.0968, 0.5882, -0.0185, 0.0321, 0.0297, 0.0293, 0.0297, 0.0313, 0.2166, 0.1114, 0.1114, 0.1357, 0.0704
398, 254375, 1.5356, 0.0649, 26.4240, 40.5774, 0.4822, 0.6185, 0.2158, 0.0651, 0.9468, 1.6403, 0.1666, 0.1319, 0.9280, 1.2298, 0.1103, 0.1242, 0.1207, 0.1224, 0.1222, 0.3429, 0.1785, 0.1785, 0.2428, 0.1470
399, 316566, 2.1137, 0.0698, 27.0257, 57.1240, 0.4802, 0.6308, 0.2158, 0.0575, 0.4297, 1.0396, 0.1691, 0.1397, 1.4050, 4.0909, 0.1179, 0.1278, 0.1255, 0.1262, 0.1330, 0.3494, 0.1858, 0.1858, 0.2436, 0.1561
400, 781862, 0.6985, 0.0623, 65.8687, 46.0085, 0.4758, 0.6323, 0.1974, 0.0418, 0.2471, -0.0040, 0.1696, 0.1124, 1.0299, 1.8187, 0.0433, 0.0448, 0.0444, 0.0447, 0.0688, 0.2485, 0.1181, 0.1181, 0.1469, 0.0764
401, 951080, 0.6185, 0.0641, 79.5346, 49.1960, 0.4780, 0.6205, 0.2069, 0.0472, 0.3573, -0.1098, 0.1624, 0.1051, 1.0137, 1.5804, 0.0458, 0.0471, 0.0476, 0.0467, 0.0655, 0.2416, 0.1065, 0.1065, 0.1354, 0.0644
402, 158924, 0.1130, 0.0672, 79.7164, 9.0067, 0.4763, 0.6601, 0.2230, 0.0551, 0.5334, 0.5719, 0.1873, 0.1073, 0.8759, 1.1890, 0.0707, 0.0695, 0.0692, 0.0695, 0.0493, 0.2258, 0.1330, 0.1330, 0.1509, 0.0888
