sample_number, space_size, shape, density, rpu, rpi, gini_u, gini_i, pop_avg, pop_std, pop_skew, pop_kurtosis, long_tail_avg, long_tail_std, long_tail_skew, long_tail_kurtosis, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
443, 333002, 0.2061, 0.0607, 77.1641, 15.9064, 0.4923, 0.6283, 0.1914, 0.0432, 0.1502, -0.0019, 0.1568, 0.1132, 1.1173, 1.6283, 0.0331, 0.0344, 0.0351, 0.0346, 0.0388, 0.2160, 0.1044, 0.1044, 0.1153, 0.0768
444, 1328780, 0.4697, 0.0634, 106.6241, 50.0791, 0.4791, 0.6249, 0.2023, 0.0434, 0.2188, -0.0755, 0.1629, 0.1042, 1.1041, 2.0489, 0.0344, 0.0365, 0.0384, 0.0365, 0.0525, 0.2040, 0.0942, 0.0942, 0.1126, 0.0514
445, 1138320, 0.4863, 0.0620, 94.8871, 46.1412, 0.4564, 0.6383, 0.2025, 0.0422, 0.2888, 0.1326, 0.1646, 0.1029, 1.0549, 1.9347, 0.0340, 0.0364, 0.0373, 0.0365, 0.0591, 0.2252, 0.0967, 0.0967, 0.1236, 0.0564
446, 388800, 1.3333, 0.0673, 36.3333, 48.4444, 0.4540, 0.6299, 0.2286, 0.0563, 0.4268, 0.1202, 0.1549, 0.1102, 0.8921, 1.7959, 0.1028, 0.1090, 0.1064, 0.1085, 0.1089, 0.3261, 0.1774, 0.1774, 0.2139, 0.1342
447, 269151, 0.1782, 0.0622, 76.4795, 13.6282, 0.4908, 0.6420, 0.2062, 0.0462, 0.3028, 0.2295, 0.1665, 0.1093, 0.8517, 1.4577, 0.0591, 0.0631, 0.0633, 0.0631, 0.0414, 0.2437, 0.1087, 0.1087, 0.1163, 0.0708
448, 479374, 0.9618, 0.0638, 45.0766, 43.3527, 0.4591, 0.6300, 0.1968, 0.0408, 0.3209, 0.0270, 0.1604, 0.1106, 0.6877, 0.4995, 0.0793, 0.0802, 0.0805, 0.0809, 0.0853, 0.2770, 0.1217, 0.1217, 0.1653, 0.0980
449, 340366, 0.1792, 0.0580, 79.9838, 14.3367, 0.4763, 0.6438, 0.1918, 0.0422, 0.3569, 0.0460, 0.1659, 0.1048, 0.8195, 0.6650, 0.0320, 0.0337, 0.0343, 0.0337, 0.0349, 0.2227, 0.0992, 0.0992, 0.1352, 0.0606
450, 621720, 0.9912, 0.0625, 49.5236, 49.0859, 0.4618, 0.6400, 0.2126, 0.0499, 0.3659, -0.1503, 0.1539, 0.1103, 0.8311, 0.9761, 0.0668, 0.0682, 0.0666, 0.0668, 0.0796, 0.2747, 0.1150, 0.1150, 0.1781, 0.0822
451, 993370, 0.3832, 0.0636, 102.3938, 39.2404, 0.4741, 0.6226, 0.2045, 0.0449, 0.2387, -0.0504, 0.1580, 0.1026, 1.1407, 2.2951, 0.0356, 0.0393, 0.0403, 0.0393, 0.0524, 0.2175, 0.0955, 0.0955, 0.1230, 0.0559
452, 1305807, 0.5442, 0.0635, 98.3452, 53.5216, 0.4709, 0.6303, 0.2037, 0.0438, 0.2541, -0.0043, 0.1662, 0.1039, 1.0568, 1.9326, 0.0336, 0.0375, 0.0374, 0.0372, 0.0565, 0.2165, 0.0974, 0.0974, 0.1259, 0.0559
453, 30264, 0.3574, 0.0615, 17.8846, 6.3918, 0.4510, 0.6476, 0.1947, 0.0466, 0.8015, 0.9235, 0.1560, 0.1348, 0.6385, -0.2331, 0.1704, 0.1720, 0.1720, 0.1720, 0.1500, 0.3272, 0.2378, 0.2378, 0.2799, 0.2296
454, 674080, 0.8705, 0.0612, 53.8603, 46.8830, 0.4810, 0.6196, 0.1922, 0.0440, 0.4440, 0.0854, 0.1566, 0.1088, 0.8656, 1.0962, 0.0610, 0.0645, 0.0640, 0.0637, 0.0750, 0.2595, 0.1210, 0.1210, 0.1653, 0.0810
455, 307881, 0.1160, 0.0675, 109.8942, 12.7502, 0.4545, 0.6409, 0.2146, 0.0435, 0.3459, 0.3301, 0.1638, 0.0973, 0.9295, 2.0024, 0.0343, 0.0365, 0.0367, 0.0365, 0.0311, 0.2058, 0.1029, 0.1029, 0.1146, 0.0611
456, 152880, 0.0942, 0.0550, 70.0333, 6.5965, 0.4539, 0.6773, 0.2093, 0.0490, 0.4497, -0.3885, 0.1553, 0.1046, 0.6062, 0.1102, 0.0419, 0.0403, 0.0400, 0.0403, 0.0263, 0.2243, 0.1054, 0.1054, 0.1406, 0.0783
457, 1093122, 0.3901, 0.0626, 104.8760, 40.9104, 0.4711, 0.6313, 0.2011, 0.0427, 0.3025, 0.0740, 0.1652, 0.1017, 0.9721, 1.6009, 0.0345, 0.0361, 0.0374, 0.0362, 0.0519, 0.2202, 0.0926, 0.0926, 0.1196, 0.0526
458, 880280, 0.6322, 0.0643, 75.9330, 48.0051, 0.4693, 0.6269, 0.2076, 0.0461, 0.3488, 0.0583, 0.1650, 0.1075, 1.0926, 2.1334, 0.0462, 0.0529, 0.0521, 0.0521, 0.0686, 0.2434, 0.1084, 0.1084, 0.1390, 0.0698
459, 507065, 0.2803, 0.0591, 79.5544, 22.2989, 0.4657, 0.6403, 0.1948, 0.0393, 0.0444, 0.0674, 0.1631, 0.1036, 1.0233, 1.8949, 0.0430, 0.0455, 0.0462, 0.0455, 0.0439, 0.2325, 0.0982, 0.0982, 0.1311, 0.0636
460, 398825, 0.1761, 0.0589, 88.6151, 15.6033, 0.4740, 0.6560, 0.2039, 0.0463, 0.2925, -0.4282, 0.1705, 0.1017, 0.7098, 0.3688, 0.0340, 0.0372, 0.0372, 0.0372, 0.0405, 0.2235, 0.1061, 0.1061, 0.1242, 0.0666
461, 301419, 0.3419, 0.0687, 64.4984, 22.0490, 0.4891, 0.6239, 0.2139, 0.0486, 0.4421, 0.2895, 0.1696, 0.1094, 0.6409, 0.6226, 0.0597, 0.0632, 0.0626, 0.0632, 0.0687, 0.2548, 0.1162, 0.1162, 0.1467, 0.0905
462, 811839, 0.4101, 0.0642, 90.2600, 37.0149, 0.4737, 0.6373, 0.2102, 0.0463, 0.3578, 0.0491, 0.1653, 0.1057, 0.9352, 1.3877, 0.0386, 0.0418, 0.0422, 0.0418, 0.0563, 0.2258, 0.1001, 0.1001, 0.1316, 0.0617
463, 706494, 0.2715, 0.0625, 100.7352, 27.3540, 0.4914, 0.6225, 0.1993, 0.0441, 0.2508, -0.1616, 0.1582, 0.1030, 1.1922, 2.3971, 0.0439, 0.0482, 0.0488, 0.0482, 0.0440, 0.2141, 0.1081, 0.1081, 0.1300, 0.0709
464, 200000, 1.9531, 0.0635, 20.3120, 39.6719, 0.4596, 0.6384, 0.2169, 0.0636, 0.6818, 0.8046, 0.1680, 0.1397, 0.9209, 1.1657, 0.1464, 0.1569, 0.1533, 0.1561, 0.1317, 0.3654, 0.2169, 0.2169, 0.2524, 0.1768
465, 64980, 0.5556, 0.0647, 22.1105, 12.2836, 0.4797, 0.6473, 0.2077, 0.0530, 0.6941, 1.2540, 0.1811, 0.1541, 1.3578, 3.7588, 0.1653, 0.1706, 0.1705, 0.1706, 0.1374, 0.3453, 0.2155, 0.2155, 0.2508, 0.2021
466, 663705, 0.2930, 0.0623, 93.8322, 27.4950, 0.4986, 0.6164, 0.1967, 0.0430, 0.1799, -0.0953, 0.1521, 0.1034, 1.0354, 1.6411, 0.0311, 0.0306, 0.0311, 0.0306, 0.0401, 0.2207, 0.0930, 0.0930, 0.1215, 0.0492
467, 436985, 0.1607, 0.0607, 100.0189, 16.0734, 0.4695, 0.6336, 0.1924, 0.0422, 0.2619, 0.1498, 0.1691, 0.1003, 1.0207, 1.3649, 0.0253, 0.0236, 0.0237, 0.0236, 0.0298, 0.1973, 0.0989, 0.0989, 0.1105, 0.0490
468, 768828, 0.2922, 0.0633, 102.7300, 30.0210, 0.4721, 0.6405, 0.2051, 0.0434, 0.1808, -0.0374, 0.1692, 0.1045, 0.9931, 1.5550, 0.0359, 0.0395, 0.0401, 0.0395, 0.0447, 0.2187, 0.0976, 0.0976, 0.1166, 0.0574
469, 178068, 0.4530, 0.0685, 42.9366, 19.4482, 0.4684, 0.6342, 0.2205, 0.0489, 0.5336, 0.1639, 0.1612, 0.1097, 0.5223, -0.2583, 0.0788, 0.0858, 0.0862, 0.0858, 0.0865, 0.2921, 0.1543, 0.1543, 0.1951, 0.1130
470, 284580, 0.1462, 0.0652, 90.9608, 13.3018, 0.4760, 0.6417, 0.2103, 0.0429, 0.3712, 0.1123, 0.1708, 0.1012, 1.0306, 1.7713, 0.0358, 0.0391, 0.0387, 0.0391, 0.0422, 0.2415, 0.1115, 0.1115, 0.1256, 0.0784
471, 511119, 0.3805, 0.0616, 71.3741, 27.1579, 0.4659, 0.6350, 0.1970, 0.0428, 0.3087, 0.0063, 0.1671, 0.1046, 1.0197, 1.9412, 0.0519, 0.0549, 0.0552, 0.0549, 0.0514, 0.2398, 0.1091, 0.1091, 0.1513, 0.0704
472, 875568, 0.9006, 0.0639, 63.0495, 56.7830, 0.4716, 0.6359, 0.2118, 0.0511, 0.3437, 0.3505, 0.1725, 0.1205, 1.2509, 2.6802, 0.0520, 0.0592, 0.0585, 0.0583, 0.0796, 0.2620, 0.1183, 0.1183, 0.1567, 0.0774
473, 1052280, 0.4215, 0.0597, 94.2838, 39.7424, 0.4756, 0.6370, 0.1980, 0.0436, 0.3123, -0.1175, 0.1644, 0.1045, 0.9687, 1.6084, 0.0288, 0.0308, 0.0318, 0.0307, 0.0473, 0.2186, 0.0863, 0.0863, 0.1284, 0.0503
474, 308866, 0.5103, 0.0638, 49.6700, 25.3458, 0.4796, 0.6265, 0.2035, 0.0471, 0.4308, 0.5526, 0.1600, 0.1136, 0.8772, 0.9631, 0.0767, 0.0797, 0.0806, 0.0797, 0.0749, 0.2690, 0.1543, 0.1543, 0.1770, 0.1006
475, 283424, 0.2610, 0.0636, 66.2794, 17.3013, 0.4543, 0.6315, 0.2053, 0.0451, 0.3701, 0.0175, 0.1504, 0.1015, 0.7929, 1.1602, 0.0485, 0.0453, 0.0457, 0.0453, 0.0460, 0.2477, 0.1121, 0.1121, 0.1597, 0.0840
476, 1307460, 0.6530, 0.0604, 85.4556, 55.8028, 0.4703, 0.6377, 0.2055, 0.0469, 0.2731, -0.0308, 0.1628, 0.1061, 1.0253, 1.7673, 0.0343, 0.0364, 0.0354, 0.0362, 0.0617, 0.2326, 0.0927, 0.0927, 0.1233, 0.0560
477, 479232, 0.3611, 0.0622, 71.6587, 25.8767, 0.4678, 0.6420, 0.1976, 0.0431, 0.2578, 0.1014, 0.1715, 0.1109, 1.0391, 1.9894, 0.0502, 0.0502, 0.0512, 0.0503, 0.0571, 0.2358, 0.1236, 0.1236, 0.1513, 0.0779
478, 335068, 0.1329, 0.0643, 102.0379, 13.5579, 0.4641, 0.6390, 0.2047, 0.0440, 0.4152, -0.2979, 0.1689, 0.1037, 0.6799, 0.6676, 0.0232, 0.0265, 0.0267, 0.0265, 0.0318, 0.2099, 0.0942, 0.0942, 0.1197, 0.0556
479, 119574, 2.1838, 0.0655, 15.3346, 33.4872, 0.5085, 0.5967, 0.1868, 0.0709, 1.4704, 5.5124, 0.1774, 0.1741, 1.2532, 2.2732, 0.1803, 0.1796, 0.1802, 0.1797, 0.1651, 0.3793, 0.2113, 0.2113, 0.2697, 0.1944
480, 299464, 2.7169, 0.0658, 21.8348, 59.3223, 0.4652, 0.6378, 0.2166, 0.0564, 0.5889, 1.3280, 0.1622, 0.1406, 1.0536, 1.9992, 0.1483, 0.1655, 0.1548, 0.1588, 0.1364, 0.3560, 0.2087, 0.2087, 0.2456, 0.1835
481, 355600, 0.1814, 0.0654, 91.5866, 16.6164, 0.4708, 0.6383, 0.2177, 0.0484, 0.3160, -0.0592, 0.1586, 0.0988, 0.8980, 1.4856, 0.0329, 0.0375, 0.0381, 0.0375, 0.0387, 0.2298, 0.0963, 0.0963, 0.1370, 0.0570
482, 329095, 1.9108, 0.0639, 26.5284, 50.6916, 0.4872, 0.6333, 0.2053, 0.0525, 0.4274, 0.3594, 0.1606, 0.1332, 0.9619, 1.1783, 0.1122, 0.1284, 0.1246, 0.1266, 0.1325, 0.3308, 0.1793, 0.1793, 0.2188, 0.1589
483, 461871, 0.2401, 0.0627, 86.9640, 20.8789, 0.4645, 0.6297, 0.1969, 0.0403, -0.0198, -0.1183, 0.1638, 0.1110, 1.4055, 3.1722, 0.0471, 0.0455, 0.0461, 0.0455, 0.0432, 0.2184, 0.1105, 0.1105, 0.1204, 0.0694
484, 582204, 1.1325, 0.0613, 43.9335, 49.7545, 0.4689, 0.6325, 0.1971, 0.0440, 0.5336, 0.6852, 0.1652, 0.1151, 0.8449, 1.1287, 0.0759, 0.0821, 0.0801, 0.0819, 0.0927, 0.2821, 0.1509, 0.1509, 0.1769, 0.1016
485, 365960, 0.2142, 0.0642, 83.8464, 17.9625, 0.4575, 0.6456, 0.2135, 0.0461, 0.3965, 0.1406, 0.1656, 0.1003, 0.8524, 0.8036, 0.0459, 0.0456, 0.0462, 0.0456, 0.0439, 0.2502, 0.1018, 0.1018, 0.1247, 0.0661
486, 579242, 0.4473, 0.0623, 70.8703, 31.6986, 0.4792, 0.6274, 0.2101, 0.0483, 0.2366, -0.1976, 0.1548, 0.1041, 0.9730, 1.5576, 0.0483, 0.0510, 0.0501, 0.0509, 0.0580, 0.2506, 0.1129, 0.1129, 0.1478, 0.0668
487, 720936, 0.7678, 0.0644, 62.3884, 47.9020, 0.4633, 0.6278, 0.2003, 0.0410, 0.2331, 0.0266, 0.1678, 0.1062, 0.8824, 1.2016, 0.0564, 0.0588, 0.0579, 0.0579, 0.0817, 0.2488, 0.1108, 0.1108, 0.1452, 0.0778
488, 613287, 1.0991, 0.0580, 43.3398, 47.6332, 0.4874, 0.6315, 0.1828, 0.0501, 0.6245, 0.6498, 0.1664, 0.1199, 0.8949, 1.2429, 0.0653, 0.0686, 0.0670, 0.0676, 0.0794, 0.2678, 0.1339, 0.1339, 0.1678, 0.0820
489, 68256, 0.3657, 0.0656, 28.3418, 10.3657, 0.4936, 0.6565, 0.2087, 0.0566, -0.3644, 0.6981, 0.2008, 0.1773, 1.7316, 4.0182, 0.1331, 0.1403, 0.1416, 0.1410, 0.1127, 0.3010, 0.2017, 0.2017, 0.2363, 0.1530
490, 710775, 0.6410, 0.0615, 64.7348, 41.4967, 0.4846, 0.6218, 0.1970, 0.0448, 0.3849, -0.0281, 0.1583, 0.1059, 0.8569, 0.9364, 0.0526, 0.0573, 0.0561, 0.0569, 0.0657, 0.2417, 0.1106, 0.1106, 0.1391, 0.0754
491, 876940, 0.4848, 0.0674, 90.6702, 43.9532, 0.4741, 0.6109, 0.1994, 0.0427, 0.4022, 0.4396, 0.1653, 0.1030, 1.0039, 2.0200, 0.0438, 0.0497, 0.0499, 0.0497, 0.0637, 0.2142, 0.1000, 0.1000, 0.1221, 0.0641
492, 967224, 0.7365, 0.0609, 69.8140, 51.4162, 0.4886, 0.6245, 0.1959, 0.0457, 0.3489, 0.2028, 0.1631, 0.1116, 1.0652, 1.9361, 0.0514, 0.0560, 0.0555, 0.0553, 0.0701, 0.2402, 0.1128, 0.1128, 0.1374, 0.0741
493, 939300, 0.9208, 0.0641, 64.7634, 59.6337, 0.4684, 0.6326, 0.2100, 0.0478, 0.3919, 0.1604, 0.1609, 0.1048, 0.8739, 1.4424, 0.0549, 0.0621, 0.0615, 0.0617, 0.0845, 0.2637, 0.1167, 0.1167, 0.1502, 0.0770
494, 676914, 0.3045, 0.0642, 95.7709, 29.1616, 0.4765, 0.6288, 0.2041, 0.0438, 0.3506, -0.1624, 0.1635, 0.1012, 0.7551, 0.6268, 0.0311, 0.0312, 0.0325, 0.0312, 0.0475, 0.2174, 0.0864, 0.0864, 0.1174, 0.0525
495, 564094, 0.8836, 0.0660, 52.7181, 46.5820, 0.4744, 0.6324, 0.2116, 0.0509, 0.5326, 0.2925, 0.1656, 0.1135, 0.9030, 1.4070, 0.0713, 0.0712, 0.0717, 0.0704, 0.0848, 0.2684, 0.1221, 0.1221, 0.1692, 0.0922
496, 683865, 0.3027, 0.0647, 97.2813, 29.4498, 0.4776, 0.6141, 0.2002, 0.0431, 0.0786, -0.0616, 0.1572, 0.1075, 1.2728, 2.6401, 0.0463, 0.0485, 0.0491, 0.0485, 0.0457, 0.2124, 0.0935, 0.0935, 0.1125, 0.0595
497, 56134, 0.2873, 0.0571, 25.2205, 7.2466, 0.4761, 0.6484, 0.1938, 0.0505, 0.6202, 0.7442, 0.1569, 0.1353, 0.9414, 1.3173, 0.1154, 0.1163, 0.1162, 0.1163, 0.1058, 0.3089, 0.1567, 0.1567, 0.2164, 0.1552
498, 1081143, 0.7778, 0.0650, 76.5932, 59.5725, 0.4690, 0.6282, 0.2061, 0.0448, 0.2995, 0.0531, 0.1647, 0.1055, 1.0099, 1.7945, 0.0547, 0.0607, 0.0602, 0.0601, 0.0772, 0.2446, 0.1098, 0.1098, 0.1521, 0.0769
499, 242144, 1.7880, 0.0566, 20.8328, 37.2500, 0.5015, 0.6526, 0.2033, 0.0744, 0.9510, 2.5431, 0.1606, 0.1605, 1.6388, 4.6399, 0.1301, 0.1422, 0.1384, 0.1392, 0.1192, 0.3511, 0.2287, 0.2287, 0.2568, 0.1681
500, 760384, 1.0000, 0.0623, 54.3349, 54.3349, 0.4690, 0.6307, 0.2014, 0.0444, 0.3210, -0.1265, 0.1570, 0.1080, 0.7705, 0.9914, 0.0678, 0.0730, 0.0735, 0.0726, 0.0834, 0.2606, 0.1251, 0.1251, 0.1561, 0.0933
501, 336449, 0.7700, 0.0615, 40.6306, 31.2874, 0.4884, 0.6262, 0.1981, 0.0470, 0.4096, 0.4357, 0.1687, 0.1262, 1.1807, 2.3884, 0.0709, 0.0732, 0.0739, 0.0736, 0.0849, 0.2844, 0.1554, 0.1554, 0.1807, 0.1090
502, 403845, 0.2011, 0.0631, 89.4596, 17.9929, 0.4582, 0.6327, 0.1986, 0.0421, 0.1831, 0.2589, 0.1659, 0.1047, 1.1152, 2.1896, 0.0352, 0.0386, 0.0384, 0.0386, 0.0452, 0.2213, 0.1209, 0.1209, 0.1253, 0.0703
503, 576520, 0.5835, 0.0659, 65.4862, 38.2113, 0.4758, 0.6327, 0.2173, 0.0509, 0.3945, 0.4592, 0.1669, 0.1151, 1.1822, 2.7659, 0.0622, 0.0670, 0.0682, 0.0669, 0.0798, 0.2636, 0.1397, 0.1397, 0.1754, 0.0923
504, 969540, 0.5273, 0.0646, 87.5301, 46.1534, 0.4705, 0.6248, 0.2068, 0.0471, 0.3695, 0.1406, 0.1621, 0.1033, 0.9809, 1.6836, 0.0418, 0.0476, 0.0482, 0.0477, 0.0634, 0.2312, 0.1010, 0.1010, 0.1321, 0.0599
505, 328280, 0.2440, 0.0655, 76.0141, 18.5448, 0.4638, 0.6377, 0.2081, 0.0432, 0.1320, 0.1826, 0.1676, 0.1050, 1.1541, 2.9309, 0.0470, 0.0457, 0.0455, 0.0457, 0.0453, 0.2417, 0.1117, 0.1117, 0.1343, 0.0701
506, 37278, 0.3187, 0.0612, 20.9174, 6.6667, 0.4400, 0.6643, 0.2262, 0.0663, 0.6754, -0.0871, 0.1542, 0.1223, 0.3535, -0.6605, 0.1792, 0.1808, 0.1808, 0.1808, 0.1454, 0.3445, 0.2523, 0.2523, 0.2895, 0.2219
507, 282150, 1.0721, 0.0645, 33.0945, 35.4815, 0.4857, 0.6265, 0.2182, 0.0593, 0.7313, 0.3631, 0.1676, 0.1302, 0.8849, 0.8261, 0.1067, 0.1207, 0.1198, 0.1190, 0.1083, 0.3069, 0.1921, 0.1921, 0.2133, 0.1439
508, 274960, 0.8768, 0.0621, 34.7841, 30.4982, 0.4611, 0.6354, 0.1910, 0.0435, 0.3557, 0.4095, 0.1618, 0.1203, 0.7125, 0.4415, 0.0909, 0.0904, 0.0903, 0.0897, 0.0915, 0.2971, 0.1586, 0.1586, 0.1958, 0.1120
509, 63650, 0.2821, 0.0700, 33.2313, 9.3747, 0.4997, 0.6075, 0.2163, 0.0540, 0.4654, -0.1210, 0.1268, 0.1143, 0.8748, 0.7608, 0.0907, 0.0944, 0.0955, 0.0944, 0.0962, 0.3041, 0.1594, 0.1594, 0.2108, 0.1301
510, 46529, 0.5571, 0.0598, 17.2733, 9.6228, 0.4414, 0.6568, 0.1895, 0.0561, 0.8509, 1.2208, 0.1700, 0.1264, 0.4898, 0.4674, 0.1706, 0.1727, 0.1725, 0.1728, 0.1410, 0.3429, 0.2232, 0.2232, 0.2484, 0.1925
511, 175299, 0.2588, 0.0692, 56.9390, 14.7363, 0.4798, 0.6195, 0.2185, 0.0508, 0.3117, -0.1001, 0.1704, 0.1207, 1.1887, 2.7878, 0.0723, 0.0733, 0.0730, 0.0733, 0.0631, 0.2617, 0.1444, 0.1444, 0.1823, 0.0998
512, 622440, 0.4789, 0.0607, 69.2491, 33.1667, 0.4656, 0.6349, 0.2022, 0.0455, 0.3543, 0.2375, 0.1630, 0.1071, 0.9852, 1.7110, 0.0498, 0.0528, 0.0527, 0.0527, 0.0595, 0.2443, 0.1158, 0.1158, 0.1337, 0.0739
513, 29484, 1.1235, 0.0656, 10.6209, 11.9321, 0.4116, 0.6739, 0.2228, 0.0670, 1.4297, 6.0527, 0.1665, 0.1785, 1.5461, 3.9554, 0.2226, 0.2234, 0.2234, 0.2234, 0.2032, 0.3870, 0.2880, 0.2880, 0.3328, 0.2476
514, 192576, 3.4576, 0.0682, 16.0858, 55.6186, 0.4751, 0.6106, 0.2067, 0.0740, 1.2137, 4.2499, 0.1622, 0.1631, 1.4902, 3.8696, 0.1844, 0.1994, 0.1935, 0.1953, 0.1649, 0.3721, 0.2480, 0.2480, 0.2822, 0.2145
515, 74214, 2.5380, 0.0659, 11.2627, 28.5848, 0.5184, 0.6253, 0.2103, 0.0933, 0.8780, 2.4009, 0.1524, 0.1850, 1.6916, 4.0487, 0.2006, 0.2061, 0.2065, 0.2061, 0.2011, 0.4138, 0.2413, 0.2413, 0.3175, 0.2403
516, 1258272, 0.4724, 0.0626, 102.1375, 48.2525, 0.4647, 0.6322, 0.2035, 0.0444, 0.2459, -0.0920, 0.1622, 0.1043, 0.9981, 1.6489, 0.0354, 0.0363, 0.0372, 0.0363, 0.0513, 0.2179, 0.0951, 0.0951, 0.1225, 0.0485
517, 38760, 1.0737, 0.0735, 13.9559, 14.9842, 0.4889, 0.5960, 0.2142, 0.0630, 0.5294, 1.2013, 0.1366, 0.1498, 1.4352, 4.2345, 0.2195, 0.2216, 0.2215, 0.2216, 0.1774, 0.3824, 0.2778, 0.2778, 0.2823, 0.2332
518, 757170, 0.9453, 0.0616, 55.1619, 52.1419, 0.4953, 0.6162, 0.1930, 0.0493, 0.5255, 0.5195, 0.1700, 0.1188, 0.9916, 1.6497, 0.0644, 0.0702, 0.0673, 0.0675, 0.0822, 0.2616, 0.1292, 0.1292, 0.1589, 0.0864
519, 394212, 1.3223, 0.0643, 35.0928, 46.4048, 0.4863, 0.6427, 0.2084, 0.0502, 0.4573, 1.0658, 0.1626, 0.1293, 1.2566, 3.2648, 0.0921, 0.0995, 0.0948, 0.0958, 0.0973, 0.3060, 0.1485, 0.1485, 0.1949, 0.1249
520, 776451, 0.2761, 0.0604, 101.3629, 27.9851, 0.4694, 0.6344, 0.2008, 0.0450, 0.3459, -0.0677, 0.1615, 0.1000, 0.8734, 1.0519, 0.0262, 0.0284, 0.0296, 0.0284, 0.0417, 0.2224, 0.0924, 0.0924, 0.1175, 0.0475
521, 409491, 0.1689, 0.0626, 97.4829, 16.4663, 0.4549, 0.6432, 0.2044, 0.0439, 0.3784, -0.2559, 0.1640, 0.0974, 0.7020, 0.1850, 0.0353, 0.0368, 0.0374, 0.0368, 0.0346, 0.2108, 0.0974, 0.0974, 0.1179, 0.0593
522, 323919, 0.2403, 0.0625, 72.5950, 17.4453, 0.4737, 0.6375, 0.1996, 0.0400, 0.3717, -0.1104, 0.1692, 0.1009, 0.6685, 0.5439, 0.0490, 0.0505, 0.0506, 0.0505, 0.0442, 0.2217, 0.1083, 0.1083, 0.1454, 0.0756
523, 100596, 0.4056, 0.0631, 31.4059, 12.7390, 0.4959, 0.6503, 0.2082, 0.0540, 0.9109, 2.9446, 0.1768, 0.1230, 0.7571, 1.0072, 0.1127, 0.1203, 0.1197, 0.1203, 0.1003, 0.3076, 0.1820, 0.1820, 0.2281, 0.1504
524, 131920, 0.8763, 0.0672, 26.0853, 22.8582, 0.4918, 0.6297, 0.2139, 0.0549, 0.6752, 0.6931, 0.1668, 0.1330, 0.8730, 1.0214, 0.1263, 0.1328, 0.1315, 0.1329, 0.1119, 0.3476, 0.1803, 0.1803, 0.2270, 0.1524
525, 207746, 0.0851, 0.0722, 112.7444, 9.5999, 0.4780, 0.6339, 0.2158, 0.0415, 0.2181, 0.2566, 0.1764, 0.1117, 1.1458, 2.7406, 0.0493, 0.0514, 0.0510, 0.0514, 0.0309, 0.1914, 0.1063, 0.1063, 0.1203, 0.0674
526, 103104, 0.3108, 0.0618, 35.5978, 11.0625, 0.4856, 0.6477, 0.1981, 0.0573, 0.6256, 0.8156, 0.1786, 0.1522, 0.9810, 0.8183, 0.1071, 0.1140, 0.1129, 0.1140, 0.0886, 0.3078, 0.1942, 0.1942, 0.2170, 0.1434
527, 117600, 0.1224, 0.0599, 58.7417, 7.1929, 0.4519, 0.6505, 0.2034, 0.0455, 0.2004, -0.4384, 0.1599, 0.1109, 0.6606, 0.1927, 0.0503, 0.0539, 0.0533, 0.0539, 0.0393, 0.2452, 0.1457, 0.1457, 0.1565, 0.0951
528, 1064133, 0.7427, 0.0628, 75.2205, 55.8655, 0.4815, 0.6273, 0.1990, 0.0446, 0.3515, 0.2703, 0.1619, 0.1092, 1.1017, 1.9665, 0.0396, 0.0446, 0.0442, 0.0440, 0.0650, 0.2321, 0.0977, 0.0977, 0.1251, 0.0637
529, 636500, 0.7053, 0.0622, 59.1343, 41.7053, 0.4704, 0.6355, 0.2109, 0.0493, 0.3484, -0.1449, 0.1586, 0.1072, 0.9115, 1.4852, 0.0647, 0.0679, 0.0683, 0.0680, 0.0784, 0.2653, 0.1264, 0.1264, 0.1613, 0.0894
530, 1255935, 0.5472, 0.0625, 94.6502, 51.7921, 0.4695, 0.6334, 0.1988, 0.0404, 0.1728, -0.1985, 0.1654, 0.1028, 0.8732, 1.3807, 0.0352, 0.0374, 0.0378, 0.0374, 0.0541, 0.2098, 0.0947, 0.0947, 0.1184, 0.0498
531, 1258600, 0.5239, 0.0634, 98.2512, 51.4710, 0.4718, 0.6296, 0.2059, 0.0436, 0.2676, -0.0693, 0.1596, 0.1008, 1.0445, 1.9639, 0.0417, 0.0463, 0.0459, 0.0465, 0.0627, 0.2223, 0.1023, 0.1023, 0.1237, 0.0559
532, 1085664, 0.5734, 0.0621, 85.5082, 49.0305, 0.4741, 0.6332, 0.2032, 0.0455, 0.3614, 0.0526, 0.1641, 0.1066, 0.9846, 1.5811, 0.0445, 0.0482, 0.0491, 0.0484, 0.0628, 0.2327, 0.0971, 0.0971, 0.1302, 0.0573
533, 133504, 0.6652, 0.0702, 31.4329, 20.9085, 0.4320, 0.6398, 0.2284, 0.0516, 0.2988, -0.0247, 0.1570, 0.1154, 0.9324, 1.9440, 0.1175, 0.1257, 0.1259, 0.1256, 0.1178, 0.3266, 0.1858, 0.1858, 0.2287, 0.1597
534, 541236, 1.3381, 0.0633, 40.2738, 53.8884, 0.4748, 0.6252, 0.2098, 0.0568, 0.6998, 0.7818, 0.1655, 0.1188, 0.8688, 1.1472, 0.0987, 0.1038, 0.0991, 0.1015, 0.1057, 0.2935, 0.1574, 0.1574, 0.2058, 0.1205
