Computing user similarities...
Done. Elapsed time: 505.35341691970825 s
Computing social similarities...
Done. Elapsed time: 84.50018286705017 s
Computing PPR values for all users...
Done. Elapsed time: 478.37237524986267 s
Precomputing recommendation scores...
Done. Elapsed time: 395.76271080970764 s
Saving result...
Done. Elapsed time: 4149.177231788635 s
0 11589 pre@10: 0.0 rec@10: 0.0
1 7948 pre@10: 0.1 rec@10: 0.1111111111111111
2 2043 pre@10: 0.06666666666666667 rec@10: 0.07407407407407407
3 13457 pre@10: 0.07500000000000001 rec@10: 0.10555555555555556
4 15363 pre@10: 0.06000000000000001 rec@10: 0.08444444444444445
5 15399 pre@10: 0.06666666666666667 rec@10: 0.08888888888888889
6 14546 pre@10: 0.05714285714285715 rec@10: 0.07619047619047618
7 16174 pre@10: 0.05 rec@10: 0.06666666666666667
8 11486 pre@10: 0.044444444444444446 rec@10: 0.05925925925925926
9 10066 pre@10: 0.04 rec@10: 0.05333333333333333
10 5342 pre@10: 0.03636363636363637 rec@10: 0.048484848484848485
11 8595 pre@10: 0.05000000000000001 rec@10: 0.07777777777777778
12 7956 pre@10: 0.04615384615384616 rec@10: 0.07179487179487179
13 4944 pre@10: 0.042857142857142864 rec@10: 0.06666666666666667
14 5608 pre@10: 0.04666666666666667 rec@10: 0.07333333333333333
15 111 pre@10: 0.04375 rec@10: 0.06875
16 7929 pre@10: 0.041176470588235294 rec@10: 0.06470588235294118
17 10011 pre@10: 0.03888888888888889 rec@10: 0.061111111111111116
18 12942 pre@10: 0.03684210526315789 rec@10: 0.05789473684210527
19 3344 pre@10: 0.034999999999999996 rec@10: 0.05500000000000001
20 9083 pre@10: 0.03333333333333333 rec@10: 0.05238095238095238
21 16015 pre@10: 0.03636363636363636 rec@10: 0.055681818181818186
22 10308 pre@10: 0.034782608695652174 rec@10: 0.053260869565217396
23 6785 pre@10: 0.041666666666666664 rec@10: 0.06493055555555556
24 7731 pre@10: 0.044000000000000004 rec@10: 0.06677777777777778
25 18131 pre@10: 0.04230769230769231 rec@10: 0.06420940170940172
26 406 pre@10: 0.04444444444444445 rec@10: 0.0635147774036663
27 3672 pre@10: 0.042857142857142864 rec@10: 0.06124639249639251
28 12156 pre@10: 0.04137931034482759 rec@10: 0.05913444792755138
29 3651 pre@10: 0.04000000000000001 rec@10: 0.05716329966329967
30 10446 pre@10: 0.03870967741935485 rec@10: 0.05531932225480613
31 17177 pre@10: 0.037500000000000006 rec@10: 0.053590593434343435
32 6262 pre@10: 0.03636363636363637 rec@10: 0.051966636057545146
33 2438 pre@10: 0.03823529411764707 rec@10: 0.05132947118241236
34 6774 pre@10: 0.03714285714285715 rec@10: 0.049862914862914866
35 7313 pre@10: 0.03611111111111112 rec@10: 0.04847783389450056
36 7284 pre@10: 0.03783783783783785 rec@10: 0.05167212667212667
37 18149 pre@10: 0.036842105263157905 rec@10: 0.05031233386496545
38 4104 pre@10: 0.03589743589743591 rec@10: 0.04902227402227403
39 4477 pre@10: 0.0375 rec@10: 0.05029671717171717
40 1872 pre@10: 0.036585365853658534 rec@10: 0.049069967972407
41 11595 pre@10: 0.03571428571428571 rec@10: 0.0479016354016354
42 15110 pre@10: 0.03488372093023256 rec@10: 0.04678764388066714
43 4211 pre@10: 0.03409090909090909 rec@10: 0.045724288337924704
44 10464 pre@10: 0.03333333333333333 rec@10: 0.04470819304152638
45 1118 pre@10: 0.03260869565217391 rec@10: 0.043736275801493196
46 14144 pre@10: 0.031914893617021274 rec@10: 0.042805716741886955
47 338 pre@10: 0.03333333333333333 rec@10: 0.042184493746993755
48 5806 pre@10: 0.034693877551020415 rec@10: 0.04423903760638455
49 3874 pre@10: 0.034 rec@10: 0.04335425685425686
50 13796 pre@10: 0.03529411764705883 rec@10: 0.04495515377868319
51 2958 pre@10: 0.03846153846153847 rec@10: 0.04635307502954562
52 2220 pre@10: 0.03773584905660378 rec@10: 0.04547848870823344
53 8497 pre@10: 0.03703703703703704 rec@10: 0.044636294472895785
54 13268 pre@10: 0.03636363636363637 rec@10: 0.043824725482479496
55 3580 pre@10: 0.0375 rec@10: 0.046613569670292364
56 10629 pre@10: 0.0368421052631579 rec@10: 0.04579578774625215
