uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
780, 0.44972, 0.46746, 0.48441, 0.46746, 0.54650, 1.71430, 0.56404, 0.56404, 0.49620, 0.54285
781, 0.85793, 0.85909, 0.86082, 0.85909, 0.81110, 2.61608, 0.88244, 0.88244, 0.93444, 0.91298
782, 0.52549, 0.54058, 0.53835, 0.54058, 0.49064, 2.41986, 0.61158, 0.61158, 0.53075, 0.53454
783, 0.81077, 0.83181, 0.83552, 0.83181, 0.98542, 1.86332, 0.89886, 0.89886, 0.98529, 0.81234
784, 1.25043, 1.18838, 1.20157, 1.18289, 1.29831, 2.77461, 1.13976, 1.13976, 1.12170, 1.33115
785, 1.12386, 1.07336, 0.97723, 1.05844, 1.49076, 1.38567, 1.09524, 1.09524, 1.22921, 0.99993
786, 1.47032, 1.45702, 1.45664, 1.45711, 1.42004, 2.39275, 1.45664, 1.45664, 1.27524, 1.39424
787, 0.68562, 0.75838, 0.74793, 0.75838, 0.86414, 2.30585, 0.70579, 0.70579, 0.68353, 0.66029
788, 0.60540, 0.63672, 0.63536, 0.63672, 0.60571, 1.53952, 0.62087, 0.62087, 0.59484, 0.53565
789, 1.19407, 1.10884, 1.10776, 1.10884, 1.33139, 2.39796, 1.09317, 1.09317, 0.83011, 1.05056
790, 1.05837, 1.10975, 1.10665, 1.10975, 1.13297, 1.95159, 1.01590, 1.01590, 0.92377, 1.04237
791, 1.01256, 0.84999, 0.86235, 0.85725, 0.86687, 2.32608, 0.85312, 0.85312, 0.94360, 0.75065
792, 0.91392, 0.93733, 0.94164, 0.94685, 1.15960, 2.72768, 0.88883, 0.88883, 0.92753, 1.15016
793, 0.94090, 0.73362, 0.83696, 0.80940, 0.75773, 1.59925, 0.73560, 0.73560, 0.71377, 0.73191
794, 1.43311, 1.48948, 1.48597, 1.48948, 1.41361, 2.01515, 1.52278, 1.52278, 1.43678, 1.32880
795, 0.92010, 0.85422, 0.84102, 0.85441, 0.91896, 2.88415, 0.81862, 0.81862, 0.72693, 1.02429
796, 0.66570, 0.74168, 0.71297, 0.74168, 0.84543, 1.16212, 0.94534, 0.94534, 1.10848, 0.72994
797, 0.55258, 0.54200, 0.52296, 0.54200, 0.55834, 2.01632, 0.54463, 0.54463, 0.56860, 0.56372
798, 1.63571, 1.57076, 1.58307, 1.57076, 1.56400, 2.42040, 1.50602, 1.50602, 1.39131, 1.74988
799, 1.13888, 1.07392, 1.08339, 1.07392, 1.02579, 2.14936, 0.94023, 0.94023, 0.88274, 0.98220
800, 1.66627, 1.64294, 1.61689, 1.64460, 1.59488, 1.80957, 1.45514, 1.45514, 1.46350, 1.56243
801, 1.36584, 1.36599, 1.36452, 1.36599, 1.46281, 1.98274, 1.35425, 1.35425, 1.36377, 1.30314
802, 1.37443, 1.31561, 1.30330, 1.29008, 1.61131, 1.16493, 1.46096, 1.46096, 1.38554, 1.29308
803, 0.53928, 0.50922, 0.50891, 0.50922, 0.35932, 1.61150, 0.52107, 0.52107, 0.43457, 0.52500
804, 1.02701, 1.03547, 1.03547, 1.03547, 0.95168, 2.42518, 0.98511, 0.98511, 1.02359, 1.05814
805, 0.98052, 0.91854, 0.90863, 0.93052, 0.75060, 3.16923, 0.95613, 0.95613, 1.21290, 1.07257
806, 0.65850, 0.65430, 0.66069, 0.65430, 0.75020, 2.92927, 0.60617, 0.60617, 0.66326, 0.68507
807, 0.93377, 0.92918, 0.93153, 0.92918, 1.00911, 2.14228, 0.97807, 0.97807, 0.98941, 1.06845
808, 1.57427, 1.55715, 1.55425, 1.55715, 1.62492, 2.68100, 1.53587, 1.53587, 1.56682, 1.67139
809, 0.63193, 0.53699, 0.53013, 0.52197, 0.50212, 1.75393, 0.40580, 0.40580, 0.44659, 0.42989
810, 0.59700, 0.59507, 0.60618, 0.59507, 0.69909, 1.92317, 0.66347, 0.66347, 0.61249, 0.74425
811, 0.68283, 0.69050, 0.71744, 0.69050, 0.83175, 1.41387, 0.90546, 0.90546, 0.90120, 0.80155
812, 0.97587, 0.96795, 0.98928, 0.96795, 0.87555, 2.69171, 0.85111, 0.85111, 0.81541, 0.60891
813, 0.39467, 0.36264, 0.35535, 0.36264, 0.35844, 1.94047, 0.30363, 0.30363, 0.29667, 0.35136
814, 1.04752, 1.06761, 1.09419, 1.06658, 1.19445, 2.20025, 0.99174, 0.99174, 0.97649, 0.80589
815, 0.52893, 0.50404, 0.50659, 0.50404, 0.45691, 3.00045, 0.46648, 0.46648, 0.41565, 0.74784
816, 0.32321, 0.42641, 0.41262, 0.42641, 0.46448, 2.95121, 0.38699, 0.38699, 0.59666, 0.74294
817, 0.83588, 0.85346, 0.85218, 0.85346, 0.95825, 2.61371, 0.75350, 0.75350, 0.58932, 0.75379
818, 0.84059, 0.75060, 0.75119, 0.75060, 0.78475, 2.79792, 0.78072, 0.78072, 0.79643, 0.74972
819, 1.04865, 0.99965, 1.01656, 0.99965, 1.02471, 2.54118, 0.93662, 0.93662, 0.87350, 0.96239
820, 1.16813, 1.15956, 1.17532, 1.15956, 1.25403, 2.16159, 1.10641, 1.10641, 1.16757, 1.24105
821, 1.52690, 1.55400, 1.54725, 1.55400, 1.65258, 2.52959, 1.31308, 1.31308, 1.34289, 1.47139
822, 1.20017, 1.23459, 1.22736, 1.22913, 1.27623, 1.97601, 1.24409, 1.24409, 1.13155, 1.26590
