uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
694, 0.03604, 0.03268, 0.03222, 0.03291, 0.02076, 0.04716, 0.11147, 0.11147, 0.10017, 0.04758
695, 0.00612, 0.00705, 0.00656, 0.00704, 0.01059, 0.03223, 0.01005, 0.01005, 0.01320, 0.00883
696, 0.00318, 0.00279, 0.00277, 0.00279, 0.01176, 0.01223, 0.00240, 0.00240, 0.00499, 0.00503
697, 0.01263, 0.02087, 0.01908, 0.02105, 0.00783, 0.10096, 0.05625, 0.05625, 0.05443, 0.01687
698, 0.02295, 0.02357, 0.02125, 0.02160, 0.01074, 0.06386, 0.04244, 0.04244, 0.04798, 0.01843
699, 0.01805, 0.01796, 0.01773, 0.01796, 0.02539, 0.06071, 0.02195, 0.02195, 0.07075, 0.01753
700, 0.00301, 0.00237, 0.00228, 0.00225, 0.00283, 0.04700, 0.00214, 0.00214, 0.00964, 0.00221
701, 0.00625, 0.00646, 0.00643, 0.00646, 0.00661, 0.03609, 0.00581, 0.00581, 0.01099, 0.00609
702, 0.02138, 0.02265, 0.02279, 0.02265, 0.01401, 0.08292, 0.03820, 0.03820, 0.04702, 0.02969
703, 0.00475, 0.00816, 0.00718, 0.00980, 0.00541, 0.04746, 0.01970, 0.01970, 0.01380, 0.00942
704, 0.00371, 0.00507, 0.00537, 0.00507, 0.00191, 0.01120, 0.00459, 0.00459, 0.01043, 0.00300
705, 0.00359, 0.00320, 0.00317, 0.00320, 0.01766, 0.06956, 0.00297, 0.00297, 0.00523, 0.00226
706, 0.01053, 0.01374, 0.01321, 0.01374, 0.02547, 0.09291, 0.03352, 0.03352, 0.09701, 0.01419
707, 0.00530, 0.00416, 0.00430, 0.00416, 0.00394, 0.02660, 0.00462, 0.00462, 0.00601, 0.00420
708, 0.00442, 0.00483, 0.00474, 0.00483, 0.00202, 0.01358, 0.00570, 0.00570, 0.00740, 0.01013
709, 0.00680, 0.00676, 0.00705, 0.00677, 0.00498, 0.04558, 0.00576, 0.00576, 0.00769, 0.00481
710, 0.00274, 0.00285, 0.00298, 0.00295, 0.00243, 0.09240, 0.00403, 0.00403, 0.00253, 0.00465
711, 0.01395, 0.01227, 0.01326, 0.01227, 0.00497, 0.15551, 0.01445, 0.01445, 0.07958, 0.00699
712, 0.01070, 0.01344, 0.01287, 0.01344, 0.00426, 0.12567, 0.02070, 0.02070, 0.02526, 0.02346
713, 0.00294, 0.01429, 0.01429, 0.01429, 0.00096, 0.00800, 0.03704, 0.03704, 0.07143, 0.00578
714, 0.01136, 0.01771, 0.01370, 0.01425, 0.08057, 0.33390, 0.02019, 0.02019, 0.02651, 0.01202
715, 0.01577, 0.01025, 0.01121, 0.01024, 0.00624, 0.00665, 0.01704, 0.01704, 0.01620, 0.00793
716, 0.00278, 0.00275, 0.00278, 0.00275, 0.12668, 0.06593, 0.00256, 0.00256, 0.00373, 0.00368
717, 0.00541, 0.00593, 0.00601, 0.00593, 0.00548, 0.04701, 0.00559, 0.00559, 0.00650, 0.00541
718, 0.00759, 0.00365, 0.00341, 0.00366, 0.00586, 0.13766, 0.00342, 0.00342, 0.00705, 0.00290
719, 0.00274, 0.00234, 0.00245, 0.00235, 0.00289, 0.04546, 0.00202, 0.00202, 0.00468, 0.00239
720, 0.00466, 0.00452, 0.00425, 0.00435, 0.00411, 0.04509, 0.00376, 0.00376, 0.00469, 0.00320
721, 0.01378, 0.01093, 0.00967, 0.00867, 0.00263, 0.01478, 0.01268, 0.01268, 0.01062, 0.00780
722, 0.03158, 0.03795, 0.03735, 0.03795, 0.04471, 0.18543, 0.06985, 0.06985, 0.08040, 0.04303
723, 0.00460, 0.00500, 0.00503, 0.00500, 0.00933, 0.03004, 0.00484, 0.00484, 0.00757, 0.00512
724, 0.00855, 0.00854, 0.00820, 0.00856, 0.00603, 0.03315, 0.00839, 0.00839, 0.02096, 0.01008
725, 0.00342, 0.00355, 0.00358, 0.00353, 0.00497, 0.05521, 0.00368, 0.00368, 0.00397, 0.00501
726, 0.00533, 0.00652, 0.00646, 0.00681, 0.00678, 0.09601, 0.01023, 0.01023, 0.01324, 0.00589
727, 0.02743, 0.02585, 0.02604, 0.02585, 0.03068, 0.14907, 0.02985, 0.02985, 0.05925, 0.02991
728, 0.01498, 0.01425, 0.01454, 0.01425, 0.02046, 0.07077, 0.01768, 0.01768, 0.01863, 0.01423
729, 0.00393, 0.00393, 0.00396, 0.00393, 0.00246, 0.00569, 0.00389, 0.00389, 0.00465, 0.00466
730, 0.01084, 0.01005, 0.00837, 0.01005, 0.00735, 0.04580, 0.02040, 0.02040, 0.03021, 0.01613
731, 0.00827, 0.01185, 0.01172, 0.01185, 0.00879, 0.01906, 0.04702, 0.04702, 0.08436, 0.00949
732, 0.02247, 0.02481, 0.02414, 0.02481, 0.00603, 0.04317, 0.04662, 0.04662, 0.04474, 0.02537
733, 0.05832, 0.05430, 0.05503, 0.05421, 0.03342, 0.03427, 0.14320, 0.14320, 0.16983, 0.06667
734, 0.01531, 0.01563, 0.01569, 0.01570, 0.00796, 0.02640, 0.01899, 0.01899, 0.02121, 0.03314
735, 0.02851, 0.02417, 0.02415, 0.02432, 0.00558, 0.04867, 0.00573, 0.00573, 0.00631, 0.00361
736, 0.00829, 0.00832, 0.00824, 0.00832, 0.00734, 0.05178, 0.00849, 0.00849, 0.00930, 0.00900
737, 0.00411, 0.00396, 0.00396, 0.00396, 0.00351, 0.02695, 0.00358, 0.00358, 0.00418, 0.00304
738, 0.02235, 0.02473, 0.02586, 0.02473, 0.00901, 0.11046, 0.10735, 0.10735, 0.12040, 0.02662
739, 0.00289, 0.00297, 0.00326, 0.00297, 0.00420, 0.01641, 0.00302, 0.00302, 0.00372, 0.00342
740, 0.02593, 0.02625, 0.02549, 0.02625, 0.03644, 0.14183, 0.03483, 0.03483, 0.05359, 0.02306
741, 0.00858, 0.00874, 0.00912, 0.00874, 0.00840, 0.07994, 0.01501, 0.01501, 0.01911, 0.01803
742, 0.02199, 0.02645, 0.02516, 0.02645, 0.02680, 0.20947, 0.05845, 0.05845, 0.06866, 0.02629
743, 0.00223, 0.00256, 0.00250, 0.00256, 0.00265, 0.00504, 0.00235, 0.00235, 0.01235, 0.00233
744, 0.01484, 0.01658, 0.01582, 0.01658, 0.02328, 0.13988, 0.03438, 0.03438, 0.03431, 0.01824
745, 0.01931, 0.02106, 0.01982, 0.02072, 0.02068, 0.17476, 0.04174, 0.04174, 0.08897, 0.02923
746, 0.00611, 0.00548, 0.00552, 0.00548, 0.00538, 0.06350, 0.00546, 0.00546, 0.00501, 0.00619
747, 0.00312, 0.00289, 0.00310, 0.00346, 0.01742, 0.09395, 0.00304, 0.00304, 0.00372, 0.00287
748, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
749, 0.01125, 0.01138, 0.01061, 0.01097, 0.04157, 0.04696, 0.02455, 0.02455, 0.04023, 0.01627
750, 0.02017, 0.02972, 0.02887, 0.02852, 0.01705, 0.13744, 0.04908, 0.04908, 0.05235, 0.02509
751, 0.00893, 0.00803, 0.00766, 0.00803, 0.00501, 0.07355, 0.00730, 0.00730, 0.00891, 0.00614
752, 0.01511, 0.01863, 0.01950, 0.01863, 0.00700, 0.04551, 0.02715, 0.02715, 0.02933, 0.02058
753, 0.00686, 0.00641, 0.00633, 0.00663, 0.00593, 0.04110, 0.00584, 0.00584, 0.01636, 0.00670
754, 0.00706, 0.00682, 0.00673, 0.00682, 0.00595, 0.05989, 0.00596, 0.00596, 0.01263, 0.00834
755, 0.00775, 0.00886, 0.00887, 0.00886, 0.00916, 0.20214, 0.02292, 0.02292, 0.05433, 0.01028
756, 0.03580, 0.03393, 0.03251, 0.03393, 0.01567, 0.06751, 0.08441, 0.08441, 0.09354, 0.03776
757, 0.00346, 0.00361, 0.00360, 0.00361, 0.00416, 0.01361, 0.00346, 0.00346, 0.00568, 0.00378
758, 0.01635, 0.01395, 0.01290, 0.01395, 0.01994, 0.03758, 0.03346, 0.03346, 0.03897, 0.02309
759, 0.00645, 0.00537, 0.00560, 0.00535, 0.00466, 0.01945, 0.00595, 0.00595, 0.00983, 0.01457
760, 0.00751, 0.00612, 0.00596, 0.00612, 0.00566, 0.08155, 0.00610, 0.00610, 0.00720, 0.01098
761, 0.00334, 0.00310, 0.00306, 0.00312, 0.04263, 0.04926, 0.00288, 0.00288, 0.00405, 0.00487
762, 0.00775, 0.00734, 0.00748, 0.00759, 0.01533, 0.16903, 0.00911, 0.00911, 0.01073, 0.00827
763, 0.00337, 0.00297, 0.00290, 0.00296, 0.00459, 0.03161, 0.00258, 0.00258, 0.00450, 0.00274
764, 0.00979, 0.00918, 0.00914, 0.00918, 0.01594, 0.06992, 0.01130, 0.01130, 0.01694, 0.00987
765, 0.00093, 0.00112, 0.00109, 0.00112, 0.00074, 0.00862, 0.00083, 0.00083, 0.00089, 0.00130
766, 0.05016, 0.05471, 0.05766, 0.05471, 0.05242, 0.12511, 0.12740, 0.12740, 0.12734, 0.08833
767, 0.00248, 0.00244, 0.00245, 0.00244, 0.00658, 0.00791, 0.00310, 0.00310, 0.00300, 0.00341
768, 0.00716, 0.00443, 0.00489, 0.00444, 0.00461, 0.01334, 0.00361, 0.00361, 0.00382, 0.00445
769, 0.00836, 0.00832, 0.00839, 0.00833, 0.00913, 0.05354, 0.00785, 0.00785, 0.00463, 0.00888
770, 0.01280, 0.00948, 0.01015, 0.00938, 0.00387, 0.04142, 0.01221, 0.01221, 0.00328, 0.00754
771, 0.01552, 0.01229, 0.01225, 0.01229, 0.01581, 0.11672, 0.01403, 0.01403, 0.01743, 0.01298
772, 0.00879, 0.00828, 0.00847, 0.00827, 0.01819, 0.06835, 0.00689, 0.00689, 0.00976, 0.00775
773, 0.01663, 0.02234, 0.02219, 0.02234, 0.00473, 0.20576, 0.22864, 0.22864, 0.16578, 0.02372
774, 0.00771, 0.00947, 0.00939, 0.00944, 0.00537, 0.02207, 0.01045, 0.01045, 0.01323, 0.02028
775, 0.00966, 0.00796, 0.00778, 0.00796, 0.00621, 0.02028, 0.00756, 0.00756, 0.00900, 0.00718
776, 0.00169, 0.00167, 0.00164, 0.00167, 0.00140, 0.00313, 0.00150, 0.00150, 0.00154, 0.00184
777, 0.00167, 0.00134, 0.00134, 0.00134, 0.00142, 0.06427, 0.00113, 0.00113, 0.00174, 0.00136
778, 0.00337, 0.00449, 0.00405, 0.00449, 0.00647, 0.01457, 0.00329, 0.00329, 0.00231, 0.00331
779, 0.00648, 0.00885, 0.00683, 0.00641, 0.00770, 0.43455, 0.03150, 0.03150, 0.25229, 0.00343
780, 0.01187, 0.01214, 0.01258, 0.01214, 0.01362, 0.05057, 0.04421, 0.04421, 0.01754, 0.01782
781, 0.02657, 0.02821, 0.02946, 0.02822, 0.04564, 0.19253, 0.04754, 0.04754, 0.05177, 0.03020
782, 0.02502, 0.02413, 0.02408, 0.02469, 0.02164, 0.03301, 0.06708, 0.06708, 0.09626, 0.02551
