uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
51, 0.72905, 0.73042, 0.72932, 0.73042, 0.71354, 0.90796, 0.74532, 0.74532, 0.72671, 0.74223
52, 0.81623, 0.83754, 0.83726, 0.83754, 0.59180, 0.81541, 0.87844, 0.87844, 0.87525, 0.82726
53, 0.68430, 0.68585, 0.68595, 0.68585, 0.62412, 0.65302, 0.73601, 0.73601, 0.71665, 0.71222
54, 0.64934, 0.65171, 0.65519, 0.65171, 0.57773, 0.78394, 0.68907, 0.68907, 0.63312, 0.73423
55, 0.53709, 0.54182, 0.55110, 0.54182, 0.41872, 0.80525, 0.52711, 0.52711, 0.78365, 0.53957
56, 0.57194, 0.57091, 0.57605, 0.57091, 0.50282, 0.74993, 0.57288, 0.57288, 0.66363, 0.63864
57, 0.56955, 0.55249, 0.56045, 0.55249, 0.49890, 0.87743, 0.58040, 0.58040, 0.64790, 0.64470
58, 0.37009, 0.36718, 0.36198, 0.36718, 0.42995, 0.67152, 0.29956, 0.29956, 0.36413, 0.37883
59, 0.87099, 0.86761, 0.87569, 0.86761, 0.71566, 0.90250, 0.90561, 0.90561, 0.89276, 0.80438
60, 0.45845, 0.46300, 0.46654, 0.46300, 0.40615, 0.85060, 0.46602, 0.46602, 0.48700, 0.54834
61, 0.59567, 0.60849, 0.61362, 0.60849, 0.56902, 0.86735, 0.62545, 0.62545, 0.66889, 0.60645
62, 0.82507, 0.79961, 0.79515, 0.79961, 0.66273, 0.90436, 0.81236, 0.81236, 0.80130, 0.79642
63, 0.65096, 0.67450, 0.67652, 0.67450, 0.58144, 0.82397, 0.70684, 0.70684, 0.67496, 0.74493
64, 0.48840, 0.49048, 0.49092, 0.49048, 0.49510, 0.76417, 0.48597, 0.48597, 0.53978, 0.50648
65, 0.51326, 0.52076, 0.52981, 0.52076, 0.43598, 0.78826, 0.53822, 0.53822, 0.61188, 0.59103
66, 0.64744, 0.66113, 0.66171, 0.66113, 0.57164, 0.83324, 0.64695, 0.64695, 0.65860, 0.67594
67, 0.68445, 0.70692, 0.70970, 0.70690, 0.66100, 0.88481, 0.74254, 0.74254, 0.78855, 0.73816
68, 0.60760, 0.60969, 0.57032, 0.57768, 0.58700, 0.94899, 0.62428, 0.62428, 0.70215, 0.69344
69, 0.78794, 0.78975, 0.78974, 0.78975, 0.66056, 0.86908, 0.81886, 0.81886, 0.85367, 0.82368
