user_id	prec@10	prec@50	prec@100	acc@10	acc@50	acc@100	rec@10	user_predictability
0	0.01847523053828008	0.012571306026163414	0.010238044177568089	0.0	0.13157894736842105	0.13157894736842105	0.03646797515778654	0.1649
1	0.01858359957401491	0.01263045793397231	0.010294195953141641	0.0	0.0	0.2222222222222222	0.03665972557434628	0.0001
2	0.018669566793547216	0.012768714881276058	0.010337139749864057	0.056962025316455694	0.2911392405063291	0.310126582278481	0.03703363951797679	0.2933
3	0.019211409395973156	0.012953020134228188	0.010604026845637585	0.0	0.0	0.0	0.034454909525826506	0.2286
4	0.01854507604232927	0.012649048748048343	0.01023766842074828	0.029411764705882353	0.1323529411764706	0.16911764705882354	0.03701123382077556	0.2096
5	0.018364197530864202	0.012592592592592593	0.010725308641975309	0.0	0.35714285714285715	0.7142857142857143	0.03312034755783048	0.0001
6	0.018804730184866402	0.012851582965346905	0.010370855474889603	0.0	0.0	0.21739130434782608	0.037030862645762073	0.1743
7	0.018651849533051598	0.012744821829185581	0.010320342254917306	0.09523809523809523	0.30952380952380953	0.4166666666666667	0.03701776746605375	0.2532
8	0.018545721630554537	0.012640470069775981	0.010312155710613296	0.10526315789473684	0.10526315789473684	0.2631578947368421	0.03647342257864651	0.2593
9	0.018807458964528977	0.01285219786355008	0.010368481780623068	0.17857142857142858	0.8571428571428571	0.9642857142857143	0.03702085029061776	0.1747
10	0.0185373924553276	0.012681667769688949	0.010270019854401059	0.21875	0.34375	0.4375	0.036950317464586185	0.2675
11	0.01883602044828942	0.012890287062524578	0.010432559968541094	0.0	0.0	0.0	0.037014004280531504	0.0001
12	0.018804511771263688	0.01284477670666929	0.010372155551183683	0.0	0.47058823529411764	0.47058823529411764	0.03703422537882836	0.3464
13	0.01881078077243679	0.012845631723097689	0.01035843289802723	0.0	0.0	0.19047619047619047	0.03709261426858364	0.0001
14	0.019673181672540854	0.013047100288369112	0.010525472604934317	0.075	0.2	0.6	0.03772620796975092	0.2341
15	0.018786444970177604	0.01283929225950485	0.010364199793409084	0.056338028169014086	0.1619718309859155	0.21830985915492956	0.036975731032127146	0.2431
16	0.01905286343612335	0.0129295154185022	0.010682819383259911	0.0	0.3125	0.3125	0.03419813948404981	0.1926
17	0.018719030263319548	0.012808878332446047	0.010345222982104099	0.0	0.10416666666666667	0.16666666666666666	0.03693329423112613	0.1351
18	0.018549303354661248	0.012656819948573822	0.01024517132093524	0.375	0.625	0.625	0.03699917102173256	0.3383
19	0.018654242451393247	0.012768569124630409	0.01033912731834065	0.0	0.3333333333333333	0.3333333333333333	0.03700768122332556	0.0001
20	0.01880796864794252	0.012847811887655129	0.010372305682560418	0.10886075949367088	0.19746835443037974	0.24556962025316456	0.03697930448546364	0.2525
21	0.01864540042682242	0.012624957879366506	0.010283050657081882	0.0	0.16216216216216217	0.20270270270270271	0.036833322738136484	0.207
22	0.019234943027672275	0.012951709169831798	0.010472056429734129	0.0	0.15	0.3	0.03745429879930674	0.2491
23	0.01880526980689406	0.012854719364735609	0.010361306623353186	0.0	0.34	0.44	0.037043786004602175	0.1847
24	0.018623533143038377	0.012668569616238502	0.01024104027909927	0.0	0.0	0.23809523809523808	0.037165873032669744	0.3306
25	0.018772945495622705	0.012848065518215195	0.010365362891838464	0.13157894736842105	0.23684210526315788	0.34210526315789475	0.03692685867575966	0.1813
26	0.019455087271179228	0.012950191570881227	0.010472541507024266	0.0	0.3783783783783784	0.5135135135135135	0.03632980874004547	0.2163
27	0.018563889935921597	0.012717678100263852	0.010316151526573692	0.0	0.14084507042253522	0.28169014084507044	0.03686777990751502	0.2657
28	0.019491221784306702	0.012955929774274455	0.010412038695807955	0.0	0.75	0.75	0.03722686096569922	0.3677
29	0.018447805603768908	0.012625836846020333	0.010297545251673692	0.0	0.0	0.0	0.03632980154410532	0.3383
30	0.01872413360645458	0.012799632122402909	0.01034864763178797	0.0	0.0	0.5833333333333334	0.036979237820859844	0.0001
31	0.018637961335676627	0.01277328646748682	0.01034402460456942	0.05555555555555555	0.15432098765432098	0.16666666666666666	0.03693627843382346	0.1816
32	0.01867892703629142	0.01271559932531694	0.01029925458403613	0.0	0.0	0.2857142857142857	0.03709350373036375	0.0001
33	0.018623853211009175	0.012649082568807339	0.010314220183486239	0.0	0.25	0.25	0.0367226841034819	0.2399
34	0.01854442877291961	0.012663469675599436	0.01025669957686883	0.0891089108910891	0.21782178217821782	0.27722772277227725	0.037049638509094235	0.1879
35	0.019681274900398407	0.012972111553784861	0.010434262948207172	0.0	0.08695652173913043	0.21739130434782608	0.03678853680211883	0.1942
36	0.01861826697892272	0.0126775956284153	0.010331772053083528	0.0	0.19230769230769232	0.2564102564102564	0.03666464770121867	0.2693
37	0.018797832156347512	0.012833634422729513	0.010365248809328296	0.1016949152542373	0.1016949152542373	0.3050847457627119	0.03701363095869208	0.333
38	0.01861926740646175	0.012682902877344594	0.01028920750270058	0.0	0.0	0.02185792349726776	0.03705313731667195	0.1797
