Computing user similarities...
Done. Elapsed time: 1128.3230609893799 s
Computing social similarities...
Done. Elapsed time: 216.90348744392395 s
Computing PPR values for all users...
Done. Elapsed time: 926.8205814361572 s
Precomputing recommendation scores...
Done. Elapsed time: 622.6952242851257 s
Saving result...
Done. Elapsed time: 3997.6886031627655 s
0 5506 pre@10: 0.0 rec@10: 0.0
1 25384 pre@10: 0.0 rec@10: 0.0
2 8565 pre@10: 0.0 rec@10: 0.0
3 6118 pre@10: 0.05 rec@10: 0.0625
4 23337 pre@10: 0.04 rec@10: 0.05
5 12951 pre@10: 0.03333333333333333 rec@10: 0.041666666666666664
6 24985 pre@10: 0.028571428571428574 rec@10: 0.03571428571428571
7 9088 pre@10: 0.025 rec@10: 0.03125
8 17247 pre@10: 0.022222222222222223 rec@10: 0.027777777777777776
9 3568 pre@10: 0.02 rec@10: 0.025
10 13304 pre@10: 0.018181818181818184 rec@10: 0.022727272727272728
11 6393 pre@10: 0.016666666666666666 rec@10: 0.020833333333333332
12 26531 pre@10: 0.015384615384615385 rec@10: 0.019230769230769232
13 27721 pre@10: 0.014285714285714287 rec@10: 0.017857142857142856
14 15895 pre@10: 0.013333333333333334 rec@10: 0.016666666666666666
15 21763 pre@10: 0.0125 rec@10: 0.015625
16 25516 pre@10: 0.011764705882352941 rec@10: 0.014705882352941176
17 1952 pre@10: 0.01666666666666667 rec@10: 0.027777777777777776
18 22333 pre@10: 0.01578947368421053 rec@10: 0.02631578947368421
19 10097 pre@10: 0.015000000000000003 rec@10: 0.025
20 10031 pre@10: 0.014285714285714287 rec@10: 0.023809523809523808
21 4739 pre@10: 0.01363636363636364 rec@10: 0.022727272727272728
22 17813 pre@10: 0.017391304347826087 rec@10: 0.02898550724637681
23 18527 pre@10: 0.016666666666666666 rec@10: 0.027777777777777776
24 9961 pre@10: 0.016 rec@10: 0.026666666666666665
25 21304 pre@10: 0.015384615384615385 rec@10: 0.02564102564102564
26 26615 pre@10: 0.014814814814814815 rec@10: 0.024691358024691357
27 13070 pre@10: 0.014285714285714287 rec@10: 0.023809523809523808
28 19815 pre@10: 0.013793103448275864 rec@10: 0.022988505747126436
29 11269 pre@10: 0.013333333333333334 rec@10: 0.02222222222222222
30 26099 pre@10: 0.012903225806451613 rec@10: 0.02150537634408602
31 10902 pre@10: 0.0125 rec@10: 0.020833333333333332
32 11981 pre@10: 0.012121212121212121 rec@10: 0.0202020202020202
33 9768 pre@10: 0.011764705882352941 rec@10: 0.0196078431372549
34 23825 pre@10: 0.011428571428571429 rec@10: 0.019047619047619046
35 15762 pre@10: 0.011111111111111112 rec@10: 0.018518518518518517
36 25018 pre@10: 0.010810810810810811 rec@10: 0.018018018018018018
37 15443 pre@10: 0.010526315789473684 rec@10: 0.017543859649122806
38 17048 pre@10: 0.010256410256410256 rec@10: 0.017094017094017092
39 10416 pre@10: 0.01 rec@10: 0.016666666666666666
40 19446 pre@10: 0.00975609756097561 rec@10: 0.016260162601626015
41 17321 pre@10: 0.009523809523809525 rec@10: 0.015873015873015872
42 15311 pre@10: 0.009302325581395349 rec@10: 0.015503875968992248
43 10093 pre@10: 0.009090909090909092 rec@10: 0.01515151515151515
44 8873 pre@10: 0.008888888888888889 rec@10: 0.014814814814814814
45 20287 pre@10: 0.008695652173913044 rec@10: 0.014492753623188404
46 11596 pre@10: 0.00851063829787234 rec@10: 0.014184397163120567
47 29517 pre@10: 0.008333333333333333 rec@10: 0.013888888888888888
48 6192 pre@10: 0.00816326530612245 rec@10: 0.013605442176870748
49 15693 pre@10: 0.008 rec@10: 0.013333333333333332
